outer_fold,session,channel,node_strength,diagonal_energy,off_diagonal_energy
4,0,C1,0.48406508073334725,0.56680140546424174,0.43319859453576004
4,0,Cz,0.35143403567652298,0.56680140546424174,0.43319859453576004
4,0,C2,0.42830901599072774,0.56680140546424174,0.43319859453576004
4,0,C4,0.890047286558592,0.56680140546424174,0.43319859453576004
4,0,C6,0.40976729802707329,0.56680140546424174,0.43319859453576004
4,0,CP5,0.24663703259640632,0.56680140546424174,0.43319859453576004
4,0,CP3,0.4646596657754164,0.56680140546424174,0.43319859453576004
4,0,CP1,0.40928250605819405,0.56680140546424174,0.43319859453576004
4,0,CPz,0.37913218508429092,0.56680140546424174,0.43319859453576004
4,0,CP2,0.42183396627938663,0.56680140546424174,0.43319859453576004
4,0,CP4,0.66249104287735938,0.56680140546424174,0.43319859453576004
4,0,CP6,0.28304856773927778,0.56680140546424174,0.43319859453576004
4,1,FC5,0.23535442602047058,0.54711563331008095,0.45288436668991894
4,1,FC3,0.41108765945492232,0.54711563331008095,0.45288436668991894
4,1,FC1,0.4745487100976804,0.54711563331008095,0.45288436668991894
4,1,FC2,0.49036293225678557,0.54711563331008095,0.45288436668991894
4,1,FC4,0.56769827428125041,0.54711563331008095,0.45288436668991894
4,1,FC6,0.22940795624935259,0.54711563331008095,0.45288436668991894
4,1,C5,0.28092672432743793,0.54711563331008095,0.45288436668991894
4,1,C3,0.71758898642966029,0.54711563331008095,0.45288436668991894
4,1,C1,0.4555364730969888,0.54711563331008095,0.45288436668991894
4,1,Cz,0.45092249654134703,0.54711563331008095,0.45288436668991894
4,1,C2,0.49838394413126297,0.54711563331008095,0.45288436668991894
