dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,41,ENROLLMENT_PCA_TRANSFER,0.33406432748538012,0.31264692203619143,0.33333333333333331,1.3903160699524471,0.74429575998192643,0.15532934879601704,0.23684210526315788,0.13157894736842105,0.3888888888888889,0.57894736842105265
stieger,chronological,0,41,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.29568713450292394,0.24224422442244226,0.29333333333333333,1.463472271433472,0.77554849243430579,0.21129199716958391,0.10526315789473684,0.026315789473684209,0.47222222222222221,0.57894736842105265
stieger,chronological,0,48,LRCM,0.23541963015647227,0.23622795359790077,0.2348993288590604,1.4357332573226478,0.77669199734478922,0.076096211353932505,0.21621621621621623,0.15789473684210525,0.43243243243243246,0.13513513513513514
stieger,chronological,0,48,IDENTITY_RESIDUAL_CARRY,0.35704125177809393,0.33152863289073514,0.35570469798657717,2.4429704351450066,0.90504064145889529,0.34079922460328882,0.48648648648648651,0.15789473684210525,0.59459459459459463,0.1891891891891892
stieger,chronological,0,48,PAST_PROTOTYPE_DIRECT,0.36379800853485067,0.33936545394707318,0.36241610738255031,2.3877443864392358,0.90041150420841765,0.33071784124640818,0.48648648648648651,0.15789473684210525,0.59459459459459463,0.21621621621621623
stieger,chronological,0,48,POPULATION_ONLY,0.24288762446657183,0.20028443973987811,0.24161073825503357,1.9193629828105949,0.91025942523196512,0.24431872650542955,0.081081081081081086,0.052631578947368418,0.6216216216216216,0.21621621621621623
stieger,chronological,0,48,FULL_RIDGE_TRANSFER,0.29463015647226176,0.29182824128476303,0.29530201342281881,1.5886983024824972,0.81027578039213377,0.1289507657453437,0.24324324324324326,0.39473684210526316,0.45945945945945948,0.081081081081081086
stieger,chronological,0,48,ENROLLMENT_PCA_TRANSFER,0.28733997155049784,0.2437114737114737,0.28859060402684567,1.6390291126787626,0.78419252050683197,0.20310682160240462,0.081081081081081086,0.47368421052631576,0.54054054054054057,0.054054054054054057
stieger,chronological,0,48,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.24288762446657183,0.20028443973987811,0.24161073825503357,1.9193629828105949,0.91025942523196512,0.24431872650542955,0.081081081081081086,0.052631578947368418,0.6216216216216216,0.21621621621621623
stieger,chronological,0,56,LRCM,0.18854709973131026,0.19106727225751058,0.1891891891891892,3.1417989473611883,1.0639842485448665,0.39186684599001453,0.16216216216216217,0.19444444444444445,0.10810810810810811,0.28947368421052633
stieger,chronological,0,56,IDENTITY_RESIDUAL_CARRY,0.37758811443021978,0.36965321232562615,0.3783783783783784,1.8487909385856958,0.75671104495510222,0.2004215545759849,0.24324324324324326,0.27777777777777779,0.59459459459459463,0.39473684210526316
stieger,chronological,0,56,PAST_PROTOTYPE_DIRECT,0.37084123597281493,0.36121884150985517,0.3716216216216216,1.9050927614033994,0.76701866626946946,0.2117108356615344,0.16216216216216217,0.30555555555555558,0.59459459459459463,0.42105263157894735
stieger,chronological,0,56,POPULATION_ONLY,0.18033823296981191,0.16865405869599542,0.18243243243243243,1.7651161206411488,0.87682537395297944,0.23123349818170463,0.081081081081081086,0.1111111111111111,0.10810810810810811,0.42105263157894735
stieger,chronological,0,56,FULL_RIDGE_TRANSFER,0.26399755018176074,0.2607286749944337,0.26351351351351349,2.9891421089270849,1.0294315441711048,0.37360943999811635,0.1891891891891892,0.3611111111111111,0.21621621621621623,0.28947368421052633
stieger,chronological,0,56,ENROLLMENT_PCA_TRANSFER,0.22159001106369527,0.21775946600508003,0.22297297297297297,2.3323715455041421,0.96268378667266075,0.29291900392918541,0.24324324324324326,0.1111111111111111,0.21621621621621623,0.31578947368421051
stieger,chronological,0,56,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.18033823296981191,0.16865405869599542,0.18243243243243243,1.7651161206411488,0.87682537395297944,0.23123349818170463,0.081081081081081086,0.1111111111111111,0.10810810810810811,0.42105263157894735
stieger,chronological,0,60,LRCM,0.36735419630156474,0.37176849847650772,0.36666666666666664,2.9725976005417776,0.92088503496010432,0.34933258087257446,0.44736842105263158,0.40540540540540543,0.18421052631578946,0.43243243243243246
stieger,chronological,0,60,IDENTITY_RESIDUAL_CARRY,0.62037695590327169,0.62475328947368425,0.62,1.5589248001807376,0.58506672319777686,0.23448222186818998,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,PAST_PROTOTYPE_DIRECT,0.62037695590327169,0.62400641025641024,0.62,1.5581268059241564,0.59197286845093011,0.23335619844142796,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,POPULATION_ONLY,0.47439544807965861,0.47565379955717091,0.47333333333333333,1.2739051905523011,0.68161288051676872,0.15680975138760625,0.42105263157894735,0.40540540540540543,0.36842105263157893,0.70270270270270274
