dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,recall_left_hand,recall_right_hand
openbmi,chronological,1,16,FULL_RIDGE_TRANSFER,0.60999999999999999,0.60681520314547832,0.60999999999999999,0.66089996224044623,0.46479404473374714,0.034735289925886662,0.69999999999999996,0.52000000000000002
openbmi,chronological,1,16,ENROLLMENT_PCA_TRANSFER,0.62000000000000011,0.6186270574066639,0.62,0.65883508971218463,0.46294707133272844,0.066180688054696693,0.68000000000000005,0.56000000000000005
openbmi,chronological,1,16,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.6399999999999999,0.63869931754315534,0.64000000000000001,0.653637158539777,0.45877833678852403,0.068382666761196059,0.69999999999999996,0.57999999999999996
openbmi,chronological,1,29,LRCM,0.83999999999999997,0.83999999999999997,0.83999999999999997,0.45413219643354358,0.27990514663572091,0.16015396436863061,0.83999999999999997,0.83999999999999997
openbmi,chronological,1,29,IDENTITY_RESIDUAL_CARRY,0.94999999999999996,0.94987468671679198,0.94999999999999996,0.39134568268439307,0.096683203444673904,0.043078406028094776,0.90000000000000002,1
openbmi,chronological,1,29,PAST_PROTOTYPE_DIRECT,0.94999999999999996,0.94987468671679198,0.94999999999999996,0.40113052166522661,0.097955282967745014,0.051460275276911313,0.90000000000000002,1
openbmi,chronological,1,29,POPULATION_ONLY,0.83000000000000007,0.82984686217595827,0.82999999999999996,0.52505767082769672,0.34077422940069529,0.18940695601097793,0.85999999999999999,0.80000000000000004
openbmi,chronological,1,29,FULL_RIDGE_TRANSFER,0.92999999999999994,0.92999299929993007,0.93000000000000005,0.29761022727127734,0.15796293867093836,0.14234573215877033,0.93999999999999995,0.92000000000000004
openbmi,chronological,1,29,ENROLLMENT_PCA_TRANSFER,0.93999999999999995,0.93997599039615842,0.93999999999999995,0.4003959944342676,0.22958699783312789,0.24506747503559134,0.95999999999999996,0.92000000000000004
openbmi,chronological,1,29,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.83000000000000007,0.82984686217595827,0.82999999999999996,0.52505767082769672,0.34077422940069529,0.18940695601097793,0.85999999999999999,0.80000000000000004
openbmi,chronological,1,30,LRCM,0.58000000000000007,0.57729468599033817,0.57999999999999996,0.67950765751853393,0.48698055164917231,0.055582884979390408,0.66000000000000003,0.5
openbmi,chronological,1,30,IDENTITY_RESIDUAL_CARRY,0.56000000000000005,0.55841027699718992,0.56000000000000005,0.67971882004165463,0.48504095845515038,0.047854813805440592,0.5,0.62
openbmi,chronological,1,30,PAST_PROTOTYPE_DIRECT,0.55000000000000004,0.54887218045112784,0.55000000000000004,0.68311094970874753,0.48810618897311281,0.095480805398913196,0.5,0.59999999999999998
openbmi,chronological,1,30,POPULATION_ONLY,0.60000000000000009,0.59742351046698872,0.59999999999999998,0.67934016375984341,0.48672872245168669,0.078192155173622782,0.68000000000000005,0.52000000000000002
openbmi,chronological,1,30,FULL_RIDGE_TRANSFER,0.58000000000000007,0.57729468599033817,0.57999999999999996,0.67981742150081781,0.48729270096010802,0.054954886467379407,0.66000000000000003,0.5
openbmi,chronological,1,30,ENROLLMENT_PCA_TRANSFER,0.60000000000000009,0.59855479727017258,0.59999999999999998,0.68135413918760701,0.48866552348554365,0.10052604764946606,0.66000000000000003,0.54000000000000004
openbmi,chronological,1,30,CLASS_INDEPENDENT_SUBJECT_OFFSET,0.60000000000000009,0.59742351046698872,0.59999999999999998,0.67934016375984341,0.48672872245168669,0.078192155173622782,0.68000000000000005,0.52000000000000002
openbmi,chronological,1,36,LRCM,1,1,1,0.028867849203959149,0.0054537260667703426,0.027344555743873331,1,1
openbmi,chronological,1,36,IDENTITY_RESIDUAL_CARRY,0.98999999999999999,0.98999899989999007,0.98999999999999999,0.032372961397142491,0.018505739351012195,0.013343784396421454,1,0.97999999999999998
openbmi,chronological,1,36,PAST_PROTOTYPE_DIRECT,0.98999999999999999,0.98999899989999007,0.98999999999999999,0.030749114824585266,0.016906689465270325,0.015364244304758815,1,0.97999999999999998
openbmi,chronological,1,36,POPULATION_ONLY,0.98999999999999999,0.98999899989999007,0.98999999999999999,0.30230761257595606,0.14441250446295359,0.24471827769357993,0.97999999999999998,1
