outer_fold,method,rank,ridge_lambda,temperature,mean_balanced_accuracy,fold_scores
0,LRCM,1,0.001,2,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.001,5,0.67288888888888887,0.64777777777777779|0.65666666666666673|0.70888888888888901|0.70333333333333337|0.64777777777777779
0,LRCM,1,0.01,0.050000000000000003,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,0.10000000000000001,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,0.20000000000000001,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,0.5,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,1,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,2,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.01,5,0.67355555555555546,0.64444444444444449|0.65888888888888897|0.71111111111111114|0.70555555555555549|0.64777777777777779
0,LRCM,1,0.10000000000000001,0.050000000000000003,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,0.10000000000000001,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,0.20000000000000001,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,0.5,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,1,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,2,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,0.10000000000000001,5,0.67511111111111111,0.64888888888888885|0.66888888888888898|0.71000000000000008|0.69555555555555548|0.65222222222222237
0,LRCM,1,1,0.050000000000000003,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,0.10000000000000001,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,0.20000000000000001,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,0.5,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,1,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,2,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
0,LRCM,1,1,5,0.67600000000000005,0.64777777777777779|0.67222222222222228|0.70111111111111113|0.698888888888889|0.66000000000000014
