dataset,subject,K_per_class,draws,expected_balanced_accuracy,expected_macro_f1,balanced_accuracy_draw_sd
openbmi,8,8,200,0.53541666666666665,0.52547935692247516,0.061812168451602235
openbmi,8,16,200,0.55110294117647063,0.54412691911770217,0.061637142527406749
openbmi,8,FULL_ORACLE,1,0.70999999999999996,0.70973876488839949,0
openbmi,9,1,200,0.58193877551020412,0.54951768857358385,0.080587024454304823
openbmi,9,2,200,0.6210416666666666,0.60141835497472806,0.076479281323790324
openbmi,9,4,200,0.65065217391304342,0.64106338351591508,0.074026696154800148
openbmi,9,8,200,0.69107142857142856,0.68748287817106368,0.053874670184720308
openbmi,9,16,200,0.71999999999999997,0.7182382594135005,0.048468574986385744
openbmi,9,FULL_ORACLE,1,0.80000000000000004,0.79991996798719489,0
openbmi,10,1,200,0.53102040816326523,0.50108208334555848,0.08195148484719636
openbmi,10,2,200,0.56213541666666667,0.54746285941628081,0.08469867618806616
openbmi,10,4,200,0.58652173913043482,0.57680127374310275,0.074089226973901259
openbmi,10,8,200,0.61619047619047618,0.61193702139260442,0.067998524016710096
openbmi,10,16,200,0.65830882352941189,0.6556681919499262,0.04532003962815128
openbmi,10,FULL_ORACLE,1,0.71999999999999997,0.71999999999999997,0
openbmi,11,1,200,0.51096938775510203,0.48166772579908823,0.067002015414700702
openbmi,11,2,200,0.51968749999999997,0.49993827787810657,0.071201179925283908
openbmi,11,4,200,0.53581521739130433,0.52702396004965268,0.072090636356541851
openbmi,11,8,200,0.56232142857142842,0.5572047732432337,0.058855756991484619
openbmi,11,16,200,0.58191176470588235,0.57838056550948236,0.048840914818095604
openbmi,11,FULL_ORACLE,1,0.65999999999999992,0.65945512820512819,0
openbmi,12,1,200,0.52954081632653061,0.48499990030332357,0.055687450971221859
openbmi,12,2,200,0.52541666666666675,0.49294150113981955,0.055431927282530269
openbmi,12,4,200,0.54336956521739133,0.52701830194051724,0.065326450943573616
openbmi,12,8,200,0.56416666666666659,0.55472226103999711,0.058720227824068646
openbmi,12,16,200,0.59161764705882347,0.58583195529929588,0.062299564714314436
openbmi,12,FULL_ORACLE,1,0.72999999999999998,0.72997299729972998,0
openbmi,13,1,200,0.51193877551020406,0.4725002711883709,0.057232429759903634
openbmi,13,2,200,0.52239583333333328,0.49891564749461736,0.058700741583009926
openbmi,13,4,200,0.54500000000000004,0.53085443544048161,0.061275139976282027
openbmi,13,8,200,0.55422619047619048,0.54512815368398193,0.065680601760343335
openbmi,13,16,200,0.58169117647058821,0.57660188816795677,0.058688462655213575
openbmi,13,FULL_ORACLE,1,0.73999999999999999,0.73989595838335331,0
openbmi,14,1,200,0.50581632653061226,0.4707332486801718,0.047427705981392107
openbmi,14,2,200,0.5128125,0.49108616032175917,0.051686195281364214
openbmi,14,4,200,0.52217391304347827,0.50937358822502776,0.053956863371944462
openbmi,14,8,200,0.53726190476190472,0.53101674843576385,0.059016864950353291
openbmi,14,16,200,0.5447794117647059,0.54088234759984455,0.063809144747852431
openbmi,14,FULL_ORACLE,1,0.6399999999999999,0.63869931754315534,0
openbmi,15,1,200,0.52795918367346939,0.50360173403795427,0.06133753621800777
openbmi,15,2,200,0.54281250000000003,0.53003611294595421,0.066250451021925866
openbmi,15,4,200,0.56532608695652176,0.55850053338096106,0.075918928671063798
openbmi,15,8,200,0.59303571428571422,0.58899092029307087,0.080583784770224653
openbmi,15,16,200,0.60088235294117653,0.59758723573531258,0.087406691692164348
