subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
6,5,13,-0.73976923458086064,-0.86869977158791012,-0.80423450308438538
7,4,13,0.01964617591601819,0.050046875535550622,0.034846525725784408
8,2,13,-0.038941258588715236,0.068867560979008688,0.014963151195146726
9,2,13,0.0083701904894265735,0.00043441410462801561,0.0044023022970272946
10,0,13,-0.041960995339000905,-0.0048925686129969899,-0.023426781975998949
11,0,13,-0.6334511438464715,-0.26891614461254831,-0.45118364422950991
12,3,13,0.019956040414903412,0.081902169046426457,0.050929104730664934
13,3,13,0.028314282789897824,0.069770447963105248,0.049042365376501536
14,2,13,0.11135822392747392,0.01163720919440725,0.061497716560940587
15,4,13,-0.021135967105397436,0.05911467117749851,0.018989352036050539
16,1,13,0.12865983201028161,0.047143881482297055,0.087901856746289336
17,2,13,-0.17420577201095133,-0.16266088596952016,-0.16843332899023575
18,0,13,0.18014577266689513,0.04930212513898577,0.11472394890294045
19,2,13,0.08526489751185512,-0.023082284461084082,0.031091306525385519
20,3,13,0.35201444140036442,0.48533020187468634,0.41867232163752538
21,3,13,0.12264469991760836,0.32284276347965568,0.22274373169863201
22,4,13,0.12720225085929804,0.12850185421940613,0.12785205253935208
23,4,13,-0.25756438960650246,0.022498645353087626,-0.11753287212670742
24,5,13,0.11133933268298864,0.14642029593677702,0.12887981430988282
25,3,13,-0.072313292446665928,-0.042481177340818618,-0.057397234893742273
26,4,13,-0.22554660852310998,-0.23880146092985066,-0.23217403472648032
27,5,13,-0.059435843366322461,0.12050936120877477,0.030536758921226155
28,5,13,-0.070677036776349622,-0.0060156495232441959,-0.038346343149796909
29,1,13,-0.072424573570927561,-0.11552490175467739,-0.093974737662802482
30,1,13,0.18340296964195102,0.3129878660310253,0.24819541783648816
31,0,13,0.24883665937796834,0.076775867428116679,0.16280626340304249
