subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
48,5,2,0.17790266623203496,-0.028253732147415528,0.074824467042309717
49,1,2,-0.0374496036279552,-0.0061125958937608381,-0.021781099760858021
50,2,2,0.23977356276969253,0.23890112012556358,0.23933734144762805
51,1,2,0.26465017337200381,0.037182762711767958,0.15091646804188588
52,1,2,0.036745566967513257,-0.02961674898105264,0.0035644089932303086
53,4,2,0.09424620954737313,0.049925706250066676,0.07208595789871991
54,1,2,-0.0023737313509413771,0.37430396778993308,0.18596511821949585
1,2,3,0.051875397477298767,0.11708731896802391,0.08448135822266134
2,3,3,0.093321637457508766,0.081659413778552806,0.087490525618030779
3,4,3,0.62991335710071183,0.72005972191485856,0.6749865395077852
4,0,3,0.040198733428268629,0.02287809081033372,0.031538412119301175
5,5,3,0.11836181569420298,0.13807295739713338,0.12821738654566817
6,5,3,-0.004285409141712479,0.00084633936681953459,-0.0017195348874464722
7,4,3,0.086883497643483854,0.094583221830392736,0.090733359736938302
8,2,3,0.00017280289536484184,-0.025365615162355994,-0.012596406133495577
9,2,3,0.19866786737858816,0.11253516252524381,0.15560151495191599
10,0,3,-0.016904179677592987,0.022345328159607034,0.0027205742410070233
11,0,3,0.15910624970599244,0.19704651167265094,0.17807638068932169
12,3,3,0.22934332497324877,0.13361005664275019,0.1814766908079995
13,3,3,0.10037429561215912,0.069942440235447739,0.085158367923803435
14,2,3,-0.064086570613964666,-0.007514124358756015,-0.035800347486360337
15,4,3,0.20670805971505377,0.27331312374620548,0.24001059173062961
16,1,3,1.8403431449142691,0.99365410245216901,1.416998623683219
17,2,3,-0.32513259760159274,-0.29914469464113902,-0.31213864612136588
18,0,3,0.4358167396372819,0.33641173735566765,0.38611423849647475
19,2,3,0.060193446752305507,-0.015575578016102893,0.022308934368101309
20,3,3,0.035071356976543032,-0.0015150988782327707,0.016778129049155131
21,3,3,1.1144753175691595,1.1420832546810842,1.1282792861251218
22,4,3,-0.091176220442407294,-0.18810568143363865,-0.13964095093802298
23,4,3,0.19495977168795786,0.16679827693183774,0.1808790243098978
24,5,3,0.048185792988284938,0.037837663939290292,0.043011728463787618
25,3,3,-0.15513547810524397,-0.037912115200956185,-0.096523796653100083
26,4,3,0.20751191200667762,0.17121298881039682,0.18936245040853722
27,5,3,0.16777300259748346,0.05018776496449473,0.10898038378098909
28,5,3,0.066056876205851572,0.098244234515187656,0.082150555360519614
29,1,3,1.8535430401678714,0.85888638189094579,1.3562147110294087
30,1,3,-0.061108966022132567,-0.079203905023563156,-0.070156435522847865
31,0,3,0.037758673121514486,0.063304572580032623,0.050531622850773554
32,3,3,1.1313056651235387,1.3343633049600601,1.2328344850417994
