dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_left_hand,recall_right_hand
openbmi,reverse,1,29,ORACLE_CONTINUOUS_KAPPA,0.8600000000000001,0.85949417904456049,0.85999999999999999,0.43071795706643407,0.27504984949256456,0.13500484495781254,0.059999999999999998,0.80000000000000004,0.92000000000000004
openbmi,reverse,1,29,POPULATION_ONLY,0.67999999999999994,0.67948717948717952,0.68000000000000005,0.611703850005752,0.42373903541113528,0.069140913503127746,,0.71999999999999997,0.64000000000000001
openbmi,reverse,1,29,IDENTITY_RESIDUAL_CARRY,0.76000000000000001,0.74533106960950768,0.76000000000000001,1.8329801886360817,0.47328304933244331,0.23975431234576081,,0.52000000000000002,1
openbmi,reverse,1,29,PAST_PROTOTYPE_DIRECT,0.76000000000000001,0.74533106960950768,0.76000000000000001,1.8093660434830059,0.47014436254562908,0.23336635188384294,,0.52000000000000002,1
openbmi,reverse,1,29,LRCM_HISTORICAL_CONTROL,0.71999999999999997,0.71955128205128205,0.71999999999999997,0.55383655276728738,0.37470698675010788,0.043936803921961191,,0.76000000000000001,0.68000000000000005
openbmi,reverse,1,30,SELECTIVE_GATE,0.59999999999999998,0.59595959595959602,0.59999999999999998,0.66354739616858216,0.47164099918639335,0.017521705957658621,0.28749518361116927,0.69999999999999996,0.5
openbmi,reverse,1,30,GLOBAL_KAPPA,0.59999999999999998,0.59595959595959602,0.59999999999999998,0.66348506510318273,0.47155063475142872,0.017873461496015489,0.29999999999999999,0.69999999999999996,0.5
openbmi,reverse,1,30,FIXED_RELIABILITY_KAPPA,0.59000000000000008,0.58665188022986192,0.58999999999999997,0.66665822979796563,0.475353944188942,0.031395556043603327,0,0.68000000000000005,0.5
openbmi,reverse,1,30,CLASSWISE_SELECTIVE_GATE,0.59000000000000008,0.58665188022986192,0.58999999999999997,0.66665822979796563,0.475353944188942,0.031395556043603327,0,0.68000000000000005,0.5
openbmi,reverse,1,30,ORACLE_CONTINUOUS_KAPPA,0.64999999999999991,0.64912280701754388,0.65000000000000002,0.66521997014661494,0.47246447944566439,0.091790722729000504,0.72999999999999998,0.69999999999999996,0.59999999999999998
