dataset,direction,subject,identity_balanced_accuracy,population_balanced_accuracy,oracle_balanced_accuracy,oracle_gain_over_identity,selected_method,oracle_recall_right_hand,identity_recall_right_hand,oracle_recall_left_hand,identity_recall_left_hand,oracle_recall_both_hand,identity_recall_both_hand,oracle_recall_rest,identity_recall_rest
stieger,chronological,11,0.35277382645803701,0.33250355618776672,0.35277382645803701,0,IDENTITY_RESIDUAL_CARRY,0.18421052631578946,0.18421052631578946,0.43243243243243246,0.43243243243243246,0.60526315789473684,0.60526315789473684,0.1891891891891892,0.1891891891891892
stieger,chronological,12,0.31614509246088196,0.30298719772403981,0.31614509246088196,0,IDENTITY_RESIDUAL_CARRY,0.081081081081081086,0.081081081081081086,0.21052631578947367,0.21052631578947367,0.3783783783783784,0.3783783783783784,0.59459459459459463,0.59459459459459463
stieger,chronological,13,0.24042792792792794,0.22580804488699224,0.24042792792792794,0,IDENTITY_RESIDUAL_CARRY,0.027027027027027029,0.027027027027027029,0.5,0.5,0.083333333333333329,0.083333333333333329,0.35135135135135137,0.35135135135135137
stieger,chronological,14,0.46888335704125172,0.42656472261735423,0.46888335704125172,0,IDENTITY_RESIDUAL_CARRY,0.56756756756756754,0.56756756756756754,0.18421052631578946,0.18421052631578946,0.42105263157894735,0.42105263157894735,0.70270270270270274,0.70270270270270274
stieger,chronological,15,0.40572151098466885,0.30440967283072545,0.40572151098466885,0,IDENTITY_RESIDUAL_CARRY,0.40540540540540543,0.40540540540540543,0.48648648648648651,0.48648648648648651,0.3888888888888889,0.3888888888888889,0.34210526315789475,0.34210526315789475
stieger,chronological,16,0.29729729729729731,0.34459459459459463,0.34459459459459463,0.047297297297297314,POPULATION_ONLY,0.21621621621621623,0.21621621621621623,0.081081081081081086,0.24324324324324326,0.56756756756756754,0.1891891891891892,0.51351351351351349,0.54054054054054057
stieger,chronological,17,0.39092381855539748,0.38233957641852379,0.39092381855539748,0,IDENTITY_RESIDUAL_CARRY,0.27027027027027029,0.27027027027027029,0.27777777777777779,0.27777777777777779,0.42105263157894735,0.42105263157894735,0.59459459459459463,0.59459459459459463
stieger,chronological,18,0.23948948948948948,0.26707957957957956,0.26707957957957956,0.027590090090090086,POPULATION_ONLY,0.081081081081081086,0.13513513513513514,0.083333333333333329,0.083333333333333329,0.44444444444444442,0.3611111111111111,0.45945945945945948,0.3783783783783784
stieger,chronological,19,0.3662873399715505,0.34086059743954478,0.3662873399715505,0,IDENTITY_RESIDUAL_CARRY,0.52631578947368418,0.52631578947368418,0.26315789473684209,0.26315789473684209,0.40540540540540543,0.40540540540540543,0.27027027027027029,0.27027027027027029
stieger,chronological,20,0.3439327485380117,0.37828947368421051,0.37828947368421051,0.034356725146198808,POPULATION_ONLY,0.18421052631578946,0.28947368421052633,0.25,0.63888888888888884,0.47368421052631576,0.21052631578947367,0.60526315789473684,0.23684210526315788
stieger,chronological,21,0.28286364095187622,0.21701712216418098,0.28286364095187622,0,IDENTITY_RESIDUAL_CARRY,0.23529411764705882,0.23529411764705882,0.47222222222222221,0.47222222222222221,0.34285714285714286,0.34285714285714286,0.081081081081081086,0.081081081081081086
stieger,chronological,22,0.28680654338549072,0.16073968705547653,0.28680654338549072,0,IDENTITY_RESIDUAL_CARRY,0.13157894736842105,0.13157894736842105,0.32432432432432434,0.32432432432432434,0.27027027027027029,0.27027027027027029,0.42105263157894735,0.42105263157894735
stieger,chronological,23,0.40896159317211944,0.41411806543385493,0.41411806543385493,0.0051564722617354897,POPULATION_ONLY,0.1891891891891892,0.54054054054054057,0.21052631578947367,0.21052631578947367,0.5,0.26315789473684209,0.7567567567567568,0.6216216216216216
stieger,chronological,24,0.4263869132290185,0.30672119487908961,0.4263869132290185,0,IDENTITY_RESIDUAL_CARRY,0.23684210526315788,0.23684210526315788,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.65789473684210531,0.65789473684210531
stieger,chronological,25,0.26706349206349206,0.28680033416875522,0.28680033416875522,0.019736842105263164,POPULATION_ONLY,0.10526315789473684,0.10526315789473684,0.1111111111111111,0.1111111111111111,0.45714285714285713,0.45714285714285713,0.47368421052631576,0.39473684210526316
stieger,chronological,26,0.51315789473684215,0.42638691322901845,0.51315789473684215,0,IDENTITY_RESIDUAL_CARRY,0.40540540540540543,0.40540540540540543,0.44736842105263158,0.44736842105263158,0.60526315789473684,0.60526315789473684,0.59459459459459463,0.59459459459459463
stieger,chronological,27,0.26221804511278196,0.21729323308270676,0.26221804511278196,0,IDENTITY_RESIDUAL_CARRY,0.28947368421052633,0.28947368421052633,0.28947368421052633,0.28947368421052633,0.18421052631578946,0.18421052631578946,0.2857142857142857,0.2857142857142857
stieger,chronological,28,0.48826458036984355,0.39349217638691325,0.48826458036984355,0,IDENTITY_RESIDUAL_CARRY,0.44736842105263158,0.44736842105263158,0.6216216216216216,0.6216216216216216,0.28947368421052633,0.28947368421052633,0.59459459459459463,0.59459459459459463
stieger,chronological,29,0.30555555555555558,0.3914473684210526,0.3914473684210526,0.085891812865497019,POPULATION_ONLY,0.23684210526315788,0.28947368421052633,0.21052631578947367,0.18421052631578946,0.36842105263157893,0.52631578947368418,0.75,0.22222222222222221
stieger,chronological,30,0.57503556187766713,0.52222617354196299,0.57503556187766713,0,IDENTITY_RESIDUAL_CARRY,0.39473684210526316,0.39473684210526316,0.5,0.5,0.70270270270270274,0.70270270270270274,0.70270270270270274,0.70270270270270274
stieger,chronological,31,0.27192982456140352,0.26754385964912281,0.27192982456140352,0,IDENTITY_RESIDUAL_CARRY,0.28947368421052633,0.28947368421052633,0.44736842105263158,0.44736842105263158,0.18421052631578946,0.18421052631578946,0.16666666666666666,0.16666666666666666
stieger,chronological,32,0.25446499130709654,0.27812351825509718,0.27812351825509718,0.023658526948000635,POPULATION_ONLY,0.10810810810810811,0.081081081081081086,0,0.48648648648648651,0.58333333333333337,0.055555555555555552,0.42105263157894735,0.39473684210526316
stieger,chronological,33,0.18776671408250356,0.36077524893314367,0.36077524893314367,0.17300853485064011,POPULATION_ONLY,0.078947368421052627,0.052631578947368418,0.24324324324324326,0.21621621621621623,0.52631578947368418,0.15789473684210525,0.59459459459459463,0.32432432432432434
stieger,chronological,34,0.28884147305199936,0.30288841473051997,0.30288841473051997,0.014046941678520608,POPULATION_ONLY,0.13513513513513514,0.10810810810810811,0.22222222222222221,0.22222222222222221,0.39473684210526316,0.47368421052631576,0.45945945945945948,0.35135135135135137
stieger,chronological,35,0.40376560771297609,0.48946973289078555,0.48946973289078555,0.085704125177809454,POPULATION_ONLY,0.3888888888888889,0.3888888888888889,0.34210526315789475,0.26315789473684209,0.60526315789473684,0.36842105263157893,0.6216216216216216,0.59459459459459463
stieger,chronological,36,0.45199146514935984,0.37997866287339976,0.45199146514935984,0,IDENTITY_RESIDUAL_CARRY,0.43243243243243246,0.43243243243243246,0.63157894736842102,0.63157894736842102,0.47368421052631576,0.47368421052631576,0.27027027027027029,0.27027027027027029
stieger,chronological,37,0.48898569622253829,0.45627864706812071,0.48898569622253829,0,IDENTITY_RESIDUAL_CARRY,0.27027027027027029,0.27027027027027029,0.39473684210526316,0.39473684210526316,0.52777777777777779,0.52777777777777779,0.76315789473684215,0.76315789473684215
stieger,chronological,38,0.38833570412517782,0.36415362731152201,0.38833570412517782,0,IDENTITY_RESIDUAL_CARRY,0.27027027027027029,0.27027027027027029,0.52631578947368418,0.52631578947368418,0.21621621621621623,0.21621621621621623,0.54054054054054057,0.54054054054054057
stieger,chronological,39,0.54551920341394022,0.55280938833570414,0.55280938833570414,0.0072901849217639203,POPULATION_ONLY,0.63157894736842102,0.71052631578947367,0.51351351351351349,0.51351351351351349,0.55263157894736847,0.55263157894736847,0.51351351351351349,0.40540540540540543
stieger,chronological,40,0.23518593781751679,0.27457325746799432,0.27457325746799432,0.039387319650477537,POPULATION_ONLY,0.13513513513513514,0.40540540540540543,0.20000000000000001,0.11428571428571428,0.44736842105263158,0.052631578947368418,0.31578947368421051,0.36842105263157893
stieger,chronological,41,0.36878654970760238,0.29568713450292394,0.36878654970760238,0,IDENTITY_RESIDUAL_CARRY,0.18421052631578946,0.18421052631578946,0.21052631578947367,0.21052631578947367,0.52777777777777779,0.52777777777777779,0.55263157894736847,0.55263157894736847
stieger,chronological,42,0.24701675359570097,0.33658329382013596,0.33658329382013596,0.089566540224434998,POPULATION_ONLY,0.10526315789473684,0.10526315789473684,0.21621621621621623,0.32432432432432434,0.55263157894736847,0.44736842105263158,0.47222222222222221,0.1111111111111111
stieger,chronological,43,0.24004267425320058,0.25088904694167852,0.25088904694167852,0.010846372688477934,POPULATION_ONLY,0.054054054054054057,0.3783783783783784,0.081081081081081086,0.10810810810810811,0.42105263157894735,0.42105263157894735,0.44736842105263158,0.052631578947368418
stieger,chronological,44,0.26142919235024498,0.3146732258574364,0.3146732258574364,0.053244033507191424,POPULATION_ONLY,0.10810810810810811,0.45945945945945948,0.13157894736842105,0.23684210526315788,0.3611111111111111,0.1388888888888889,0.65789473684210531,0.21052631578947367
stieger,chronological,45,0.36753200568990041,0.40202702702702703,0.40202702702702703,0.034495021337126619,POPULATION_ONLY,0.21052631578947367,0.34210526315789475,0.28947368421052633,0.26315789473684209,0.45945945945945948,0.32432432432432434,0.64864864864864868,0.54054054054054057
stieger,chronological,46,0.42598684210526316,0.43964729532163743,0.43964729532163743,0.013660453216374269,POPULATION_ONLY,0.10526315789473684,0.15789473684210525,0.19444444444444445,0.25,0.55263157894736847,0.42105263157894735,0.90625,0.875
stieger,chronological,47,0.27777777777777779,0.23793859649122806,0.27777777777777779,0,IDENTITY_RESIDUAL_CARRY,0.15789473684210525,0.15789473684210525,0.1111111111111111,0.1111111111111111,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
stieger,chronological,48,0.35704125177809393,0.24288762446657183,0.35704125177809393,0,IDENTITY_RESIDUAL_CARRY,0.48648648648648651,0.48648648648648651,0.15789473684210525,0.15789473684210525,0.59459459459459463,0.59459459459459463,0.1891891891891892,0.1891891891891892
stieger,chronological,49,0.35928362573099415,0.31652046783625731,0.35928362573099415,0,IDENTITY_RESIDUAL_CARRY,0.30555555555555558,0.30555555555555558,0.44736842105263158,0.44736842105263158,0.18421052631578946,0.18421052631578946,0.5,0.5
stieger,chronological,50,0.46728307254623047,0.41305120910384074,0.46728307254623047,0,IDENTITY_RESIDUAL_CARRY,0.48648648648648651,0.48648648648648651,0.28947368421052633,0.28947368421052633,0.55263157894736847,0.55263157894736847,0.54054054054054057,0.54054054054054057
stieger,chronological,51,0.21995021337126602,0.22492887624466573,0.22492887624466573,0.0049786628733997085,POPULATION_ONLY,0.027027027027027029,0.24324324324324326,0.16216216216216217,0.1891891891891892,0.34210526315789475,0.36842105263157893,0.36842105263157893,0.078947368421052627
stieger,chronological,52,0.42567567567567566,0.54086652441915606,0.54086652441915606,0.1151908487434804,POPULATION_ONLY,0.39473684210526316,0.68421052631578949,0.3783783783783784,0.70270270270270274,0.91666666666666663,0,0.47368421052631576,0.31578947368421051
stieger,chronological,53,0.42470760233918126,0.41885964912280699,0.42470760233918126,0,IDENTITY_RESIDUAL_CARRY,0.27777777777777779,0.27777777777777779,0.31578947368421051,0.31578947368421051,0.47368421052631576,0.47368421052631576,0.63157894736842102,0.63157894736842102
stieger,chronological,54,0.22155049786628736,0.28840682788051208,0.28840682788051208,0.066856330014224724,POPULATION_ONLY,0.10526315789473684,0.18421052631578946,0.10810810810810811,0.59459459459459463,0.72972972972972971,0.081081081081081086,0.21052631578947367,0.026315789473684209
stieger,chronological,55,0.41143116801011537,0.4002785680417259,0.41143116801011537,0,IDENTITY_RESIDUAL_CARRY,0.44736842105263158,0.44736842105263158,0.10526315789473684,0.10526315789473684,0.44444444444444442,0.44444444444444442,0.64864864864864868,0.64864864864864868
stieger,chronological,56,0.37758811443021978,0.18033823296981191,0.37758811443021978,0,IDENTITY_RESIDUAL_CARRY,0.24324324324324326,0.24324324324324326,0.27777777777777779,0.27777777777777779,0.59459459459459463,0.59459459459459463,0.39473684210526316,0.39473684210526316
