dataset,direction,outer_fold,subject,method,balanced_accuracy,macro_f1,accuracy,nll,brier,ece10,kappa,recall_right_hand,recall_left_hand,recall_both_hand,recall_rest
stieger,chronological,0,60,SELECTIVE_GATE,0.47439544807965861,0.47565379955717091,0.47333333333333333,1.2721790144557197,0.6806352427464365,0.14611270038279947,0.00099288174462007083,0.42105263157894735,0.40540540540540543,0.36842105263157893,0.70270270270270274
stieger,chronological,0,60,GLOBAL_KAPPA,0.64029160739687052,0.64444756766793199,0.64000000000000001,1.1868897099307476,0.53649348677078634,0.13285540216109012,0.59999999999999998,0.60526315789473684,0.6216216216216216,0.63157894736842102,0.70270270270270274
stieger,chronological,0,60,FIXED_RELIABILITY_KAPPA,0.62037695590327169,0.62484182098765428,0.62,1.4434371991283741,0.57196330736526169,0.2171015424716429,0.88670732415257147,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,CLASSWISE_SELECTIVE_GATE,0.62037695590327169,0.62484182098765428,0.62,1.4446171330904838,0.57179771635853882,0.21692284729796965,0.88670732415257147,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,ORACLE_CONTINUOUS_KAPPA,0.66678520625889048,0.67206851119894606,0.66666666666666663,1.0792846684033039,0.5595987788118969,0.19827553888184099,0.17000000000000001,0.65789473684210531,0.6216216216216216,0.65789473684210531,0.72972972972972971
stieger,chronological,0,60,POPULATION_ONLY,0.47439544807965861,0.47565379955717091,0.47333333333333333,1.2739051905523011,0.68161288051676872,0.15680975138760625,,0.42105263157894735,0.40540540540540543,0.36842105263157893,0.70270270270270274
stieger,chronological,0,60,IDENTITY_RESIDUAL_CARRY,0.62037695590327169,0.62475328947368425,0.62,1.5589248001807376,0.58506672319777686,0.23448222186818998,,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,PAST_PROTOTYPE_DIRECT,0.62037695590327169,0.62400641025641024,0.62,1.5581268059241564,0.59197286845093011,0.23335619844142796,,0.57894736842105265,0.6216216216216216,0.60526315789473684,0.67567567567567566
stieger,chronological,0,60,LRCM_HISTORICAL_CONTROL,0.36735419630156474,0.37176849847650772,0.36666666666666664,2.9725976005417776,0.92088503496010432,0.34933258087257446,,0.44736842105263158,0.40540540540540543,0.18421052631578946,0.43243243243243246
stieger,chronological,1,4,SELECTIVE_GATE,0.34612573099415206,0.3583384099728289,0.34666666666666668,1.5563626037330434,0.81715212933827364,0.12981185546841115,0.15474022165074622,0.34210526315789475,0.23684210526315788,0.5,0.30555555555555558
stieger,chronological,1,4,GLOBAL_KAPPA,0.30665204678362573,0.31112266926041876,0.30666666666666664,1.6683816610478255,0.84842937847635325,0.18558195645475656,0.59999999999999998,0.26315789473684209,0.21052631578947367,0.44736842105263158,0.30555555555555558
stieger,chronological,1,4,FIXED_RELIABILITY_KAPPA,0.34612573099415206,0.3565021638978082,0.34666666666666668,1.5835291364519806,0.82567708111346327,0.12864335865581941,0.27915943169180901,0.34210526315789475,0.23684210526315788,0.5,0.30555555555555558
stieger,chronological,1,4,CLASSWISE_SELECTIVE_GATE,0.34612573099415206,0.36186993275081725,0.34666666666666668,1.550689790294596,0.81441362552893704,0.12309656052240164,0.27915943169180901,0.36842105263157893,0.28947368421052633,0.42105263157894735,0.30555555555555558
stieger,chronological,1,4,ORACLE_CONTINUOUS_KAPPA,0.35270467836257308,0.36560574949037267,0.35333333333333333,1.5277724253816733,0.80724317364692622,0.12559880771179355,0,0.34210526315789475,0.26315789473684209,0.5,0.30555555555555558
stieger,chronological,1,4,POPULATION_ONLY,0.35270467836257308,0.36560574949037267,0.35333333333333333,1.5277724253816733,0.80724317364692622,0.12559880771179355,,0.34210526315789475,0.26315789473684209,0.5,0.30555555555555558
stieger,chronological,1,4,IDENTITY_RESIDUAL_CARRY,0.3125,0.32416367004467689,0.31333333333333335,1.7983531582131465,0.87623177917262329,0.21339161974962859,,0.28947368421052633,0.26315789473684209,0.44736842105263158,0.25
stieger,chronological,1,4,PAST_PROTOTYPE_DIRECT,0.29239766081871343,0.30525568181818186,0.29333333333333333,1.7389871178204597,0.86433480716552691,0.19512192576053877,,0.31578947368421051,0.28947368421052633,0.34210526315789475,0.22222222222222221
stieger,chronological,1,4,LRCM_HISTORICAL_CONTROL,0.35270467836257308,0.36570889387699446,0.35333333333333333,1.6483723798553864,0.8426839401339894,0.15824285634440338,,0.34210526315789475,0.28947368421052633,0.47368421052631576,0.30555555555555558
