protocol,subject,split,feature,confusion_matrix
P0,2,0train_fold1,F2-V,"[[4, 3, 5, 2], [1, 6, 3, 5], [2, 2, 5, 5], [1, 5, 4, 5]]"
P0,2,0train_fold1,F3-G,"[[2, 6, 4, 2], [2, 7, 4, 2], [0, 3, 5, 6], [3, 4, 4, 4]]"
P0,2,0train_fold1,F3-D,"[[3, 6, 4, 1], [1, 9, 3, 2], [2, 5, 3, 4], [5, 5, 1, 4]]"
P0,2,0train_fold1,F2-S-SHUFFLE,"[[6, 1, 4, 3], [2, 3, 5, 5], [3, 4, 5, 2], [2, 5, 5, 3]]"
P0,2,0train_fold1,F2-S-REVERSE,"[[6, 1, 3, 4], [2, 3, 5, 5], [2, 4, 3, 5], [3, 4, 2, 6]]"
P0,2,0train_fold2,F0,"[[12, 1, 1, 0], [1, 10, 2, 1], [1, 4, 9, 1], [1, 2, 1, 11]]"
P0,2,0train_fold2,F1,"[[11, 1, 0, 2], [0, 9, 1, 4], [0, 4, 9, 2], [1, 5, 3, 6]]"
P0,2,0train_fold2,F2-S,"[[6, 5, 1, 2], [1, 8, 3, 2], [1, 5, 4, 5], [3, 5, 5, 2]]"
P0,2,0train_fold2,F2-V,"[[5, 5, 1, 3], [3, 6, 2, 3], [0, 5, 6, 4], [3, 5, 4, 3]]"
P0,2,0train_fold2,F3-G,"[[4, 5, 4, 1], [2, 7, 3, 2], [2, 7, 2, 4], [7, 5, 2, 1]]"
P0,2,0train_fold2,F3-D,"[[4, 5, 3, 2], [2, 9, 2, 1], [1, 9, 2, 3], [5, 6, 1, 3]]"
P0,2,0train_fold2,F2-S-SHUFFLE,"[[3, 4, 5, 2], [0, 5, 8, 1], [2, 7, 3, 3], [5, 4, 4, 2]]"
P0,2,0train_fold2,F2-S-REVERSE,"[[6, 5, 1, 2], [1, 8, 3, 2], [1, 5, 4, 5], [3, 5, 5, 2]]"
P0,2,0train_fold3,F0,"[[14, 0, 0, 0], [2, 5, 3, 4], [2, 5, 6, 2], [1, 2, 0, 11]]"
P0,2,0train_fold3,F1,"[[14, 0, 0, 0], [1, 4, 5, 4], [0, 7, 8, 0], [0, 3, 0, 11]]"
P0,2,0train_fold3,F2-S,"[[10, 1, 1, 2], [3, 2, 6, 3], [5, 2, 3, 5], [4, 3, 1, 6]]"
P0,2,0train_fold3,F2-V,"[[9, 1, 3, 1], [4, 3, 5, 2], [3, 5, 3, 4], [5, 3, 0, 6]]"
P0,2,0train_fold3,F3-G,"[[8, 0, 2, 4], [1, 7, 4, 2], [3, 3, 4, 5], [6, 0, 5, 3]]"
P0,2,0train_fold3,F3-D,"[[8, 1, 0, 5], [1, 6, 3, 4], [4, 5, 0, 6], [5, 2, 4, 3]]"
P0,2,0train_fold3,F2-S-SHUFFLE,"[[6, 2, 1, 5], [2, 4, 5, 3], [2, 4, 5, 4], [2, 5, 3, 4]]"
P0,2,0train_fold3,F2-S-REVERSE,"[[10, 1, 1, 2], [3, 2, 6, 3], [5, 2, 3, 5], [4, 3, 1, 6]]"
P0,2,0train_fold4,F0,"[[13, 0, 0, 2], [0, 9, 4, 1], [0, 4, 7, 3], [5, 2, 2, 5]]"
P0,2,0train_fold4,F1,"[[14, 0, 0, 1], [0, 8, 3, 3], [1, 5, 5, 3], [3, 3, 3, 5]]"
P0,2,0train_fold4,F2-S,"[[10, 2, 1, 2], [0, 8, 4, 2], [2, 5, 5, 2], [2, 4, 4, 4]]"
P0,2,0train_fold4,F2-V,"[[5, 5, 2, 3], [0, 10, 1, 3], [3, 4, 3, 4], [2, 4, 5, 3]]"
P0,2,0train_fold4,F3-G,"[[1, 4, 0, 10], [3, 6, 2, 3], [4, 3, 2, 5], [2, 2, 6, 4]]"
P0,2,0train_fold4,F3-D,"[[4, 3, 1, 7], [3, 8, 0, 3], [5, 4, 2, 3], [4, 4, 3, 3]]"
P0,2,0train_fold4,F2-S-SHUFFLE,"[[8, 3, 2, 2], [1, 8, 1, 4], [3, 5, 4, 2], [2, 5, 5, 2]]"
P0,2,0train_fold4,F2-S-REVERSE,"[[10, 2, 1, 2], [0, 8, 4, 2], [2, 5, 5, 2], [2, 4, 4, 4]]"
P0,2,1test_fold0,F0,"[[11, 2, 2, 0], [2, 5, 5, 3], [2, 3, 8, 1], [1, 3, 3, 7]]"
P0,2,1test_fold0,F1,"[[10, 2, 2, 1], [3, 7, 2, 3], [0, 2, 8, 4], [1, 6, 1, 6]]"
P0,2,1test_fold0,F2-S,"[[8, 1, 4, 2], [4, 5, 3, 3], [2, 2, 4, 6], [3, 3, 4, 4]]"
P0,2,1test_fold0,F2-V,"[[4, 3, 3, 5], [0, 7, 5, 3], [1, 3, 9, 1], [2, 5, 5, 2]]"
P0,2,1test_fold0,F3-G,"[[3, 4, 4, 4], [2, 1, 6, 6], [3, 4, 2, 5], [3, 5, 4, 2]]"
P0,2,1test_fold0,F3-D,"[[3, 3, 3, 6], [3, 4, 2, 6], [3, 4, 2, 5], [2, 5, 4, 3]]"
P0,2,1test_fold0,F2-S-SHUFFLE,"[[7, 2, 2, 4], [3, 6, 4, 2], [2, 2, 5, 5], [2, 5, 4, 3]]"
P0,2,1test_fold0,F2-S-REVERSE,"[[8, 1, 4, 2], [4, 5, 3, 3], [2, 2, 4, 6], [3, 3, 4, 4]]"
P0,2,1test_fold1,F0,"[[11, 0, 1, 2], [3, 6, 5, 1], [2, 3, 8, 1], [3, 2, 1, 9]]"
P0,2,1test_fold1,F1,"[[9, 2, 1, 2], [1, 9, 2, 3], [0, 1, 9, 4], [1, 1, 4, 9]]"
P0,2,1test_fold1,F2-S,"[[8, 3, 2, 1], [4, 6, 4, 1], [3, 2, 5, 4], [1, 4, 3, 7]]"
P0,2,1test_fold1,F2-V,"[[6, 3, 2, 3], [2, 6, 3, 4], [1, 2, 6, 5], [1, 6, 1, 7]]"
P0,2,1test_fold1,F3-G,"[[4, 6, 0, 4], [3, 5, 3, 4], [5, 6, 0, 3], [5, 6, 2, 2]]"
P0,2,1test_fold1,F3-D,"[[6, 7, 1, 0], [4, 4, 5, 2], [6, 3, 2, 3], [6, 5, 3, 1]]"
P0,2,1test_fold1,F2-S-SHUFFLE,"[[6, 0, 4, 4], [5, 5, 5, 0], [4, 5, 2, 3], [2, 6, 5, 2]]"
P0,2,1test_fold1,F2-S-REVERSE,"[[8, 3, 2, 1], [4, 6, 4, 1], [3, 2, 5, 4], [1, 4, 3, 7]]"
P0,2,1test_fold2,F0,"[[10, 1, 0, 3], [1, 7, 3, 3], [1, 6, 7, 1], [1, 3, 0, 11]]"
P0,2,1test_fold2,F1,"[[9, 2, 1, 2], [1, 9, 3, 1], [1, 2, 12, 0], [1, 4, 2, 8]]"
P0,2,1test_fold2,F2-S,"[[5, 3, 4, 2], [2, 4, 3, 5], [1, 5, 6, 3], [1, 4, 7, 3]]"
P0,2,1test_fold2,F2-V,"[[3, 4, 2, 5], [3, 4, 3, 4], [1, 4, 8, 2], [3, 4, 2, 6]]"
P0,2,1test_fold2,F3-G,"[[7, 2, 3, 2], [2, 5, 4, 3], [3, 7, 2, 3], [5, 3, 4, 3]]"
P0,2,1test_fold2,F3-D,"[[6, 4, 0, 4], [3, 6, 2, 3], [2, 5, 2, 6], [3, 3, 5, 4]]"
P0,2,1test_fold2,F2-S-SHUFFLE,"[[3, 3, 4, 4], [2, 4, 2, 6], [2, 5, 6, 2], [3, 1, 5, 6]]"
P0,2,1test_fold2,F2-S-REVERSE,"[[5, 3, 4, 2], [2, 4, 3, 5], [1, 5, 6, 3], [1, 4, 7, 3]]"
P0,2,1test_fold3,F0,"[[7, 5, 0, 2], [1, 9, 2, 2], [1, 6, 6, 2], [0, 1, 0, 13]]"
P0,2,1test_fold3,F1,"[[11, 2, 0, 1], [2, 8, 0, 4], [0, 7, 5, 3], [1, 2, 4, 7]]"
P0,2,1test_fold3,F2-S,"[[6, 2, 2, 4], [2, 6, 1, 5], [3, 5, 4, 3], [3, 3, 4, 4]]"
P0,2,1test_fold3,F2-V,"[[7, 3, 2, 2], [2, 8, 1, 3], [2, 5, 4, 4], [3, 3, 3, 5]]"
P0,2,1test_fold3,F3-G,"[[6, 1, 4, 3], [3, 4, 5, 2], [3, 9, 0, 3], [3, 6, 2, 3]]"
P0,2,1test_fold3,F3-D,"[[6, 4, 2, 2], [2, 5, 5, 2], [2, 5, 1, 7], [4, 6, 1, 3]]"
P0,2,1test_fold3,F2-S-SHUFFLE,"[[5, 6, 3, 0], [2, 5, 2, 5], [2, 5, 6, 2], [2, 6, 1, 5]]"
P0,2,1test_fold3,F2-S-REVERSE,"[[6, 2, 2, 4], [2, 6, 1, 5], [3, 5, 4, 3], [3, 3, 4, 4]]"
P0,2,1test_fold4,F0,"[[11, 2, 2, 0], [2, 9, 3, 0], [2, 2, 7, 3], [1, 1, 3, 9]]"
P0,2,1test_fold4,F1,"[[12, 2, 1, 0], [3, 10, 1, 0], [0, 4, 6, 4], [1, 6, 1, 6]]"
P0,2,1test_fold4,F2-S,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
P0,2,1test_fold4,F2-V,"[[6, 4, 3, 2], [3, 8, 1, 2], [1, 5, 4, 4], [3, 7, 0, 4]]"
P0,2,1test_fold4,F3-G,"[[6, 3, 3, 3], [2, 5, 2, 5], [2, 7, 2, 3], [4, 4, 5, 1]]"
P0,2,1test_fold4,F3-D,"[[9, 3, 1, 2], [3, 7, 1, 3], [3, 6, 1, 4], [3, 5, 2, 4]]"
P0,2,1test_fold4,F2-S-SHUFFLE,"[[6, 4, 2, 3], [1, 6, 5, 2], [4, 3, 6, 1], [3, 6, 1, 4]]"
P0,2,1test_fold4,F2-S-REVERSE,"[[6, 5, 2, 2], [1, 7, 3, 3], [1, 5, 5, 3], [2, 6, 2, 4]]"
P1,2,0train_to_1test,F0,"[[69, 1, 0, 2], [19, 21, 14, 18], [18, 22, 19, 13], [19, 3, 4, 46]]"
P1,2,0train_to_1test,F1,"[[57, 7, 2, 6], [13, 46, 7, 6], [3, 33, 31, 5], [10, 27, 10, 25]]"
P1,2,0train_to_1test,F2-S,"[[38, 10, 11, 13], [8, 35, 18, 11], [8, 25, 33, 6], [20, 20, 18, 14]]"
P1,2,0train_to_1test,F2-V,"[[33, 15, 6, 18], [12, 30, 22, 8], [7, 23, 33, 9], [21, 15, 19, 17]]"
P1,2,0train_to_1test,F3-G,"[[13, 46, 9, 4], [6, 58, 5, 3], [9, 55, 5, 3], [5, 57, 3, 7]]"
P1,2,0train_to_1test,F3-D,"[[10, 52, 6, 4], [4, 61, 3, 4], [6, 58, 4, 4], [5, 61, 3, 3]]"
P1,2,0train_to_1test,F2-S-SHUFFLE,"[[20, 14, 17, 21], [8, 20, 25, 19], [10, 27, 21, 14], [14, 20, 17, 21]]"
P1,2,0train_to_1test,F2-S-REVERSE,"[[38, 10, 11, 13], [8, 35, 18, 11], [8, 25, 33, 6], [20, 20, 18, 14]]"
P1,2,1test_to_0train,F0,"[[25, 17, 9, 21], [0, 29, 27, 16], [0, 19, 30, 23], [3, 11, 12, 46]]"
P1,2,1test_to_0train,F1,"[[37, 7, 6, 22], [0, 17, 31, 24], [1, 5, 35, 31], [2, 12, 12, 46]]"
P1,2,1test_to_0train,F2-S,"[[37, 5, 15, 15], [9, 25, 24, 14], [14, 10, 31, 17], [12, 15, 17, 28]]"
P1,2,1test_to_0train,F2-V,"[[24, 16, 13, 19], [18, 21, 19, 14], [10, 15, 30, 17], [15, 13, 21, 23]]"
P1,2,1test_to_0train,F3-G,"[[39, 3, 21, 9], [20, 10, 28, 14], [30, 11, 24, 7], [32, 8, 20, 12]]"
P1,2,1test_to_0train,F3-D,"[[36, 5, 17, 14], [22, 9, 26, 15], [31, 4, 24, 13], [29, 8, 19, 16]]"
P1,2,1test_to_0train,F2-S-SHUFFLE,"[[31, 12, 15, 14], [21, 18, 23, 10], [12, 20, 21, 19], [9, 21, 19, 23]]"
P1,2,1test_to_0train,F2-S-REVERSE,"[[37, 5, 15, 15], [9, 25, 24, 14], [14, 10, 31, 17], [12, 15, 17, 28]]"
P0,3,0train_fold0,F0,"[[11, 1, 0, 3], [0, 15, 0, 0], [2, 0, 10, 2], [2, 0, 0, 12]]"
P0,3,0train_fold0,F1,"[[12, 1, 0, 2], [0, 14, 1, 0], [1, 1, 11, 1], [2, 0, 0, 12]]"
