subject,session,permutation_index,permutation,cost,cost_rank,is_identity
9,3,12,2|0|1|3,0.6898820745375999,4,False
9,3,13,2|0|3|1,3.1641922395898248,22,False
9,3,14,2|1|0|3,0.3879368390748861,1,False
9,3,15,2|1|3|0,3.188872924370755,23,False
9,3,16,2|3|0|1,2.230722336198466,12,False
9,3,17,2|3|1|0,2.5573482564421095,15,False
9,3,18,3|0|1|2,1.5405865715254081,10,False
9,3,19,3|0|2|1,2.848787163234278,18,False
9,3,20,3|1|0|2,1.2386413360626944,7,False
9,3,21,3|1|2|0,2.873467848015208,19,False
9,3,22,3|2|0|1,2.2706927656232407,13,False
9,3,23,3|2|1|0,2.5973186858668846,16,False
10,2,0,0|1|2|3,2.5967896835862048,13,True
10,2,1,0|1|3|2,3.4420404541097156,19,False
10,2,2,0|2|1|3,2.634859046217149,15,False
10,2,3,0|2|3|1,0.9099407306919051,8,False
10,2,4,0|3|1|2,3.4675899563657873,21,False
10,2,5,0|3|2|1,0.8974208703170323,7,False
10,2,6,1|0|2|3,2.6188303179602075,14,False
10,2,7,1|0|3|2,3.464081088483719,20,False
10,2,8,1|2|0|3,2.6613462486625465,16,False
10,2,9,1|2|3|0,0.6362276931989495,2,False
10,2,10,1|3|0|2,3.494077158811185,22,False
10,2,11,1|3|2|0,0.6237078328240767,1,False
10,2,12,2|0|1|3,2.845600919193091,17,False
10,2,13,2|0|3|1,1.1206826036678477,11,False
10,2,14,2|1|0|3,2.8500474872644856,18,False
10,2,15,2|1|3|0,0.8249289318008888,5,False
10,2,16,2|3|0|1,1.1506786739953134,12,False
10,2,17,2|3|1|0,0.8504784340569602,6,False
10,2,18,3|0|1|2,3.6162737070987934,23,False
10,2,19,3|0|2|1,1.0461046210500382,9,False
10,2,20,3|1|0|2,3.620720275170188,24,False
10,2,21,3|1|2|0,0.7503509491830795,3,False
10,2,22,3|2|0|1,1.0886205517523768,10,False
10,2,23,3|2|1|0,0.7884203118140237,4,False
10,3,0,0|1|2|3,0.45586150571132805,6,True
10,3,1,0|1|3|2,2.2995135749614812,16,False
10,3,2,0|2|1|3,0.3946789829008713,4,False
10,3,3,0|2|3|1,2.5844584661651746,18,False
10,3,4,0|3|1|2,1.9124415669083679,11,False
10,3,5,0|3|2|1,2.258568980922518,14,False
10,3,6,1|0|2|3,0.4401819978219565,5,False
10,3,7,1|0|3|2,2.2838340670721102,15,False
10,3,8,1|2|0|3,0.126169025103463,2,False
10,3,9,1|2|3|0,3.7462842609782516,24,False
10,3,10,1|3|0|2,1.6439316091109597,8,False
10,3,11,1|3|2|0,3.420394775735595,22,False
10,3,12,2|0|1|3,0.3752051857973361,3,False
10,3,13,2|0|3|1,2.56498466906164,17,False
10,3,14,2|1|0|3,0.12237473588929934,1,False
10,3,15,2|1|3|0,3.742489971764088,23,False
10,3,16,2|3|0|1,1.9250822111004893,12,False
10,3,17,2|3|1|0,3.3554179637109742,20,False
10,3,18,3|0|1|2,1.8727574400886766,9,False
10,3,19,3|0|2|1,2.2188848541028268,13,False
10,3,20,3|1|0|2,1.6199269901806401,7,False
10,3,21,3|1|2|0,3.396390156805275,21,False
10,3,22,3|2|0|1,1.9048718813843335,10,False
10,3,23,3|2|1|0,3.335207633994818,19,False
11,2,0,0|1|2|3,2.108801050837065,13,True
11,2,1,0|1|3|2,3.495024122528944,19,False
11,2,2,0|2|1|3,2.39435605694762,15,False
11,2,3,0|2|3|1,0.8222811265134591,5,False
11,2,4,0|3|1|2,3.646771467131738,21,False
11,2,5,0|3|2|1,0.6884734650056978,2,False
11,2,6,1|0|2|3,2.122373221195501,14,False
11,2,7,1|0|3|2,3.50859629288738,20,False
11,2,8,1|2|0|3,2.419668039253418,16,False
11,2,9,1|2|3|0,0.7259707891749323,3,False
11,2,10,1|3|0|2,3.672083449437536,22,False
11,2,11,1|3|2|0,0.592163127667171,1,False
11,2,12,2|0|1|3,2.738052867037421,17,False
11,2,13,2|0|3|1,1.1659779366032597,9,False
11,2,14,2|1|0|3,2.7497926789847824,18,False
11,2,15,2|1|3|0,1.056095428906297,8,False
11,2,16,2|3|0|1,1.3294650931534153,12,False
11,2,17,2|3|1|0,1.207842773509091,11,False
11,2,18,3|0|1|2,3.8357758183141857,23,False
11,2,19,3|0|2|1,0.8774778161881454,6,False
11,2,20,3|1|0|2,3.8475156302615474,24,False
11,2,21,3|1|2|0,0.7675953084911826,4,False
11,2,22,3|2|0|1,1.1747726342460623,10,False
11,2,23,3|2|1|0,1.053150314601738,7,False
11,3,0,0|1|2|3,0.6934909688718758,3,True
11,3,1,0|1|3|2,3.7530474005149657,21,False
11,3,2,0|2|1|3,1.561238435170921,12,False
11,3,3,0|2|3|1,1.271854899389912,10,False
11,3,4,0|3|1|2,3.8280298822570247,23,False
11,3,5,0|3|2|1,0.47908991483292607,1,False
11,3,6,1|0|2|3,0.7500582331920833,4,False
11,3,7,1|0|3|2,3.809614664835173,22,False
11,3,8,1|2|0|3,1.1811218832981671,8,False
11,3,9,1|2|3|0,2.5770534212829874,17,False
11,3,10,1|3|0|2,3.447913330384271,20,False
11,3,11,1|3|2|0,1.7842884367260017,14,False
11,3,12,2|0|1|3,1.5053991974199863,11,False
11,3,13,2|0|3|1,1.2160156616389772,9,False
11,3,14,2|1|0|3,1.068715381227025,7,False
