session,geometry,subject,split,pi_left_hand,pi_right_hand,pi_feet,pi_tongue,balanced,anchor_energy,trace_G,anchor_fraction
1test,AIRM,8,B,0.25,0.25,0.25,0.25,True,1.0323865815457106e-05,3.083950491729325,3.3476107489870885e-06
1test,AIRM,8,F,0.25,0.25,0.25,0.25,True,9.340960531113024e-06,2.8792048994416684,3.244284744348834e-06
1test,AIRM,9,A,0.25,0.25,0.25,0.25,True,4.198619207063971e-05,11.384346906238761,3.6880633045037273e-06
1test,AIRM,9,B,0.25,0.25,0.25,0.25,True,3.0356139818683153e-05,9.086763993876737,3.3406986072422626e-06
1test,AIRM,9,F,0.25,0.25,0.25,0.25,True,2.5923963327855598e-05,9.903964205199168,2.6175340288736706e-06
1test,LE,1,A,0.25,0.25,0.25,0.25,True,2.0816681711721685e-17,4.028338476735771,5.167560231579593e-18
1test,LE,1,B,0.25,0.25,0.25,0.25,True,4.163336342344337e-17,5.461132420497217,7.623576983261065e-18
1test,LE,1,F,0.25,0.25,0.25,0.25,True,6.245004513516506e-17,4.478467536899872,1.3944512184271592e-17
1test,LE,2,A,0.25,0.25,0.25,0.25,True,-1.2576745200831851e-17,0.9430756237959272,-1.3335881962689073e-17
1test,LE,2,B,0.25,0.25,0.25,0.25,True,-4.87890977618477e-18,0.6226388272619965,-7.835858546823008e-18
1test,LE,2,F,0.25,0.25,0.25,0.25,True,-1.1655173354219173e-17,0.6426680266280815,-1.813560480886369e-17
1test,LE,3,A,0.25,0.25,0.25,0.25,True,1.0408340855860843e-17,3.7300928436509255,2.7903704524612874e-18
1test,LE,3,B,0.25,0.25,0.25,0.25,True,1.3877787807814457e-17,2.8759969734400705,4.8253833143693464e-18
1test,LE,3,F,0.25,0.25,0.25,0.25,True,-7.28583859910259e-17,3.1552979298609483,-2.3090810316677994e-17
1test,LE,4,A,0.25,0.25,0.25,0.25,True,-1.0408340855860843e-17,1.7820764437171177,-5.840569237395203e-18
1test,LE,4,B,0.25,0.25,0.25,0.25,True,2.0816681711721685e-17,1.7383920828731139,1.1974675860992807e-17
1test,LE,4,F,0.25,0.25,0.25,0.25,True,2.42861286636753e-17,1.654861218095364,1.4675628625599812e-17
1test,LE,5,A,0.25,0.25,0.25,0.25,True,4.336808689942018e-19,0.36864814053276496,1.1764086707922966e-18
1test,LE,5,B,0.25,0.25,0.25,0.25,True,1.474514954580286e-17,0.41953925121051294,3.514605487629133e-17
1test,LE,5,F,0.25,0.25,0.25,0.25,True,-2.168404344971009e-18,0.2770570549978695,-7.826562456558572e-18
1test,LE,6,A,0.25,0.25,0.25,0.25,True,1.5612511283791264e-17,0.9769190975339257,1.5981375861320068e-17
1test,LE,6,B,0.25,0.25,0.25,0.25,True,-9.432558900623889e-18,0.8881070335250041,-1.0620970834095214e-17
1test,LE,6,F,0.25,0.25,0.25,0.25,True,-1.3010426069826053e-18,0.7578619761232185,-1.7167276469496245e-18
1test,LE,7,A,0.25,0.25,0.25,0.25,True,2.6020852139652106e-17,2.1188008993083485,1.2280933120306978e-17
1test,LE,7,B,0.25,0.25,0.25,0.25,True,1.9949319973733282e-17,1.701821628924588,1.1722333078079176e-17
1test,LE,7,F,0.25,0.25,0.25,0.25,True,-4.2500725161431774e-17,1.7907720979783623,-2.3733184814199236e-17
1test,LE,8,A,0.25,0.25,0.25,0.25,True,6.938893903907228e-18,2.276542379867222,3.047996806592256e-18
1test,LE,8,B,0.25,0.25,0.25,0.25,True,-2.6020852139652106e-17,2.394029502733948,-1.0869060765515488e-17
1test,LE,8,F,0.25,0.25,0.25,0.25,True,8.673617379884035e-18,2.2476777618476653,3.858923875615531e-18
