subject,feature,seed,mapping_accuracy,mapping_balanced_accuracy,mapping
3,F3-G,15,0.2361111111111111,0.2361111111111111,"0,3,2,1"
3,F3-G,16,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,17,0.2361111111111111,0.2361111111111111,"0,1,3,2"
3,F3-G,18,0.2361111111111111,0.2361111111111111,"0,3,1,2"
3,F3-G,19,0.2361111111111111,0.2361111111111111,"2,3,1,0"
4,F0,0,0.3020833333333333,0.3020833333333333,"1,0,2,3"
4,F0,1,0.3020833333333333,0.3020833333333333,"1,2,3,0"
4,F0,2,0.296875,0.296875,"2,3,0,1"
4,F0,3,0.3038194444444444,0.3038194444444444,"2,3,0,1"
4,F0,4,0.3038194444444444,0.3038194444444444,"3,0,1,2"
4,F0,5,0.3038194444444444,0.3038194444444444,"0,3,1,2"
4,F0,6,0.2951388888888889,0.2951388888888889,"2,0,3,1"
4,F0,7,0.3020833333333333,0.3020833333333333,"1,2,3,0"
4,F0,8,0.3038194444444444,0.3038194444444444,"3,2,0,1"
4,F0,9,0.3055555555555556,0.3055555555555556,"2,0,1,3"
4,F0,10,0.3020833333333333,0.3020833333333333,"2,1,0,3"
4,F0,11,0.3038194444444444,0.3038194444444444,"3,1,2,0"
4,F0,12,0.296875,0.296875,"2,3,0,1"
4,F0,13,0.2986111111111111,0.2986111111111111,"0,1,3,2"
4,F0,14,0.3038194444444444,0.3038194444444444,"3,1,0,2"
4,F0,15,0.296875,0.296875,"0,2,1,3"
4,F0,16,0.2986111111111111,0.2986111111111111,"0,2,1,3"
4,F0,17,0.3038194444444444,0.3038194444444444,"3,1,2,0"
4,F0,18,0.2986111111111111,0.2986111111111111,"2,3,0,1"
4,F0,19,0.3072916666666667,0.3072916666666667,"2,0,1,3"
4,F1,0,0.328125,0.328125,"1,0,2,3"
4,F1,1,0.3350694444444444,0.3350694444444445,"1,3,2,0"
4,F1,2,0.3298611111111111,0.3298611111111111,"3,2,1,0"
4,F1,3,0.3333333333333333,0.3333333333333333,"3,2,1,0"
4,F1,4,0.3368055555555556,0.3368055555555555,"3,1,0,2"
4,F1,5,0.3350694444444444,0.3350694444444445,"1,0,2,3"
4,F1,6,0.3333333333333333,0.3333333333333333,"0,1,3,2"
4,F1,7,0.3263888888888889,0.3263888888888888,"1,3,2,0"
4,F1,8,0.3298611111111111,0.3298611111111111,"2,0,1,3"
4,F1,9,0.3315972222222222,0.3315972222222222,"1,3,0,2"
4,F1,10,0.3333333333333333,0.3333333333333333,"2,0,3,1"
