subject,representation,seed,mapping_accuracy,mapping_balanced_accuracy,selected
4,F1,15,0.3350694444444444,0.3350694444444444,"2,1,3,0"
4,F1,16,0.3194444444444444,0.3194444444444444,"3,1,0,2"
4,F1,17,0.3298611111111111,0.3298611111111111,"0,2,1,3"
4,F1,18,0.3229166666666667,0.32291666666666663,"3,0,1,2"
4,F1,19,0.3246527777777778,0.3246527777777778,"1,0,3,2"
4,F2-S,0,0.3159722222222222,0.3159722222222222,"0,2,3,1"
4,F2-S,1,0.3159722222222222,0.3159722222222222,"2,1,3,0"
4,F2-S,2,0.3229166666666667,0.32291666666666663,"2,0,3,1"
4,F2-S,3,0.3211805555555556,0.3211805555555556,"1,2,0,3"
4,F2-S,4,0.3177083333333333,0.3177083333333333,"0,3,2,1"
4,F2-S,5,0.3177083333333333,0.3177083333333333,"1,2,3,0"
4,F2-S,6,0.3246527777777778,0.32465277777777773,"0,2,3,1"
4,F2-S,7,0.3211805555555556,0.3211805555555556,"2,0,3,1"
4,F2-S,8,0.3038194444444444,0.3038194444444444,"0,3,1,2"
4,F2-S,9,0.3107638888888889,0.3107638888888889,"3,2,1,0"
4,F2-S,10,0.3003472222222222,0.3003472222222222,"3,0,2,1"
4,F2-S,11,0.3177083333333333,0.3177083333333333,"1,3,0,2"
4,F2-S,12,0.3159722222222222,0.3159722222222222,"2,1,0,3"
4,F2-S,13,0.3246527777777778,0.3246527777777778,"3,2,0,1"
4,F2-S,14,0.3194444444444444,0.3194444444444445,"0,1,2,3"
4,F2-S,15,0.3177083333333333,0.3177083333333333,"3,0,2,1"
4,F2-S,16,0.3229166666666667,0.32291666666666663,"3,0,2,1"
4,F2-S,17,0.3159722222222222,0.3159722222222222,"1,2,0,3"
4,F2-S,18,0.3194444444444444,0.3194444444444444,"2,0,3,1"
4,F2-S,19,0.3177083333333333,0.3177083333333333,"2,0,3,1"
5,STATIC,0,0.2621527777777778,0.2621527777777778,"2,1,3,0"
5,STATIC,1,0.2621527777777778,0.2621527777777778,"2,1,3,0"
5,STATIC,2,0.2621527777777778,0.2621527777777778,"2,1,3,0"
5,STATIC,3,0.2638888888888889,0.2638888888888889,"0,2,1,3"
5,STATIC,4,0.2604166666666667,0.2604166666666667,"2,3,1,0"
5,STATIC,5,0.2586805555555556,0.2586805555555556,"0,2,3,1"
5,STATIC,6,0.2638888888888889,0.2638888888888889,"1,0,2,3"
5,STATIC,7,0.2586805555555556,0.2586805555555556,"0,2,3,1"
5,STATIC,8,0.2604166666666667,0.2604166666666667,"3,0,2,1"
5,STATIC,9,0.2604166666666667,0.2604166666666667,"0,1,2,3"
5,STATIC,10,0.2604166666666667,0.2604166666666667,"2,1,3,0"
5,STATIC,11,0.2638888888888889,0.2638888888888889,"2,0,1,3"
5,STATIC,12,0.2621527777777778,0.2621527777777778,"3,0,1,2"
5,STATIC,13,0.2621527777777778,0.2621527777777778,"2,3,1,0"
