subject,unrelated_subject,source_session,target_session,representation,heldout,error,best_cost,determinants
3,4,1test,1test,STATIC,1,0.03930612835178197,8.591826360454938e-20,"-1,1,-1,1"
3,4,1test,1test,STATIC,2,0.07481040728198313,8.285001501738058e-20,"-1,1,-1,1"
3,4,1test,1test,STATIC,3,0.26813429414156736,9.652343505425004e-20,"-1,1,-1,1"
3,4,1test,1test,F1,0,0.44072899240320357,86.39195715427806,"-1,1,-1,1"
3,4,1test,1test,F1,1,0.633387025108825,77.09132231236235,"-1,1,-1,1"
3,4,1test,1test,F1,2,0.4372620445378488,73.0955439141985,"-1,1,-1,1"
3,4,1test,1test,F1,3,0.45941913534854795,78.7265065300404,"-1,1,-1,1"
3,4,1test,1test,F2-S,0,1.5398827841656835,6.652112389001539,"-1,1,-1,1"
3,4,1test,1test,F2-S,1,1.7884363673818753,11.705631757561115,"-1,1,-1,1"
3,4,1test,1test,F2-S,2,2.7813931323410217,11.025831463903238,"-1,1,-1,1"
3,4,1test,1test,F2-S,3,0.6719170458108346,10.967518235513237,"-1,1,-1,1"
4,5,0train,0train,STATIC,0,0.15931188348843264,2.915795837449522e-19,"-1,1,-1,1"
4,5,0train,0train,STATIC,1,0.18972711488703906,3.07673004795016e-19,"-1,1,-1,1"
4,5,0train,0train,STATIC,2,0.1721552328273028,3.123899921390365e-19,"-1,1,-1,1"
4,5,0train,0train,STATIC,3,0.19248519752449322,2.5146196581898606e-19,"-1,1,-1,1"
4,5,0train,0train,F1,0,1.1381375650064811,452.56536452510346,"-1,1,-1,1"
4,5,0train,0train,F1,1,1.319668384628641,474.88944694128753,"-1,1,-1,1"
4,5,0train,0train,F1,2,1.2251608810090255,477.3312106980719,"-1,1,-1,1"
4,5,0train,0train,F1,3,1.1512995456721573,422.2963142565968,"-1,1,-1,1"
4,5,0train,0train,F2-S,0,0.6319461703740318,10.758131258418732,"-1,1,-1,1"
4,5,0train,0train,F2-S,1,0.8270643525566659,10.175096258849507,"-1,1,-1,1"
4,5,0train,0train,F2-S,2,0.8633253156241154,7.661750027633626,"-1,1,-1,1"
4,5,0train,0train,F2-S,3,0.5013390453411251,9.432541655552203,"-1,1,-1,1"
4,5,0train,1test,STATIC,0,0.11665755294559337,1.4635812678488666e-19,"-1,1,-1,1"
4,5,0train,1test,STATIC,1,0.18738622176658337,1.6223713197898692e-19,"-1,1,-1,1"
4,5,0train,1test,STATIC,2,0.18129755093001268,1.5905739579974776e-19,"-1,1,-1,1"
4,5,0train,1test,STATIC,3,0.1442395334305187,1.1969473172511342e-19,"-1,1,-1,1"
