mode,subject,source_session,target_session,representation,seed,permutation,heldout,error,best_cost,determinants,iterations
zero,1,both,both,F1,19.0,"1,0,2,3",1,0.44682947996180955,46.954806089614095,"-1,1,-1,1","9,12,8,23"
zero,1,both,both,F1,19.0,"1,0,2,3",2,0.2083861735927364,54.55606168591814,"-1,1,-1,1","19,18,9,17"
zero,1,both,both,F1,19.0,"1,0,2,3",3,0.7010064770023923,25.88692923977115,"-1,1,-1,1","17,18,15,10"
zero,1,both,both,F1,19.0,"1,0,3,2",0,0.161117354416001,48.640175653706294,"-1,1,-1,1","14,14,15,11"
zero,1,both,both,F1,19.0,"1,0,3,2",1,0.4291875402509322,39.954023047447265,"-1,1,-1,1","9,13,16,18"
zero,1,both,both,F1,19.0,"1,0,3,2",2,0.5193902107799707,35.46372726831668,"-1,1,-1,1","19,20,14,13"
zero,1,both,both,F1,19.0,"1,0,3,2",3,0.3366096281927436,38.29644792040132,"-1,1,-1,1","12,13,15,12"
zero,1,both,both,F1,19.0,"1,2,0,3",0,0.18450984917973753,58.31293157834297,"-1,1,-1,1","22,15,12,18"
zero,1,both,both,F1,19.0,"1,2,0,3",1,0.20004404882245794,58.74561305673603,"-1,1,-1,1","10,7,13,24"
zero,1,both,both,F1,19.0,"1,2,0,3",2,0.517224556019545,45.391202861500844,"-1,1,-1,1","12,11,12,10"
zero,1,both,both,F1,19.0,"1,2,0,3",3,0.7077878311482444,29.013847035425638,"-1,1,-1,1","18,22,10,14"
zero,1,both,both,F1,19.0,"1,2,3,0",0,0.16731098955759813,59.76830950364327,"-1,1,-1,1","14,18,11,20"
zero,1,both,both,F1,19.0,"1,2,3,0",1,0.19909173535912136,60.254095009757634,"-1,1,-1,1","20,19,17,12"
zero,1,both,both,F1,19.0,"1,2,3,0",2,0.5344951341758979,46.649998087269616,"-1,1,-1,1","10,12,11,11"
zero,1,both,both,F1,19.0,"1,2,3,0",3,0.6832250489872405,29.45494467645956,"-1,1,-1,1","14,11,19,18"
zero,1,both,both,F1,19.0,"1,3,0,2",0,0.16466483699682882,48.8656116560379,"-1,1,-1,1","13,11,16,15"
zero,1,both,both,F1,19.0,"1,3,0,2",1,0.4839823229816653,39.64529816677246,"-1,1,-1,1","12,16,19,15"
