half,component,subject,J_s,T_J
B,len,17,0.0010204617193655743,-0.007518841980481046
B,len,18,0.04353105940483305,-0.007518841980481046
B,len,19,-0.014555727201095874,-0.007518841980481046
B,len,20,0.036049993807692915,-0.007518841980481046
B,len,21,-0.006238613181628966,-0.007518841980481046
B,len,22,0.018091480193707786,-0.007518841980481046
B,len,23,0.02677222270071919,-0.007518841980481046
B,len,24,-0.01660258500723648,-0.007518841980481046
B,len,25,0.008244720508141207,-0.007518841980481046
B,len,26,0.02422961927944882,-0.007518841980481046
B,len,27,-0.01502606458837305,-0.007518841980481046
B,len,28,-0.011972579393995549,-0.007518841980481046
B,len,29,-0.042340751901942066,-0.007518841980481046
B,len,30,0.005895732102528785,-0.007518841980481046
B,len,31,-0.011496725122039905,-0.007518841980481046
B,len,32,-0.010124068894334266,-0.007518841980481046
B,len,33,-0.0716301921261667,-0.007518841980481046
B,len,34,0.033073408019301746,-0.007518841980481046
B,len,35,-0.017944261947327234,-0.007518841980481046
B,len,36,-0.028629649507630812,-0.007518841980481046
B,len,37,-0.013907681273472694,-0.007518841980481046
B,len,38,-0.15927246954531663,-0.007518841980481046
B,len,39,-0.08081580641318975,-0.007518841980481046
B,len,40,-0.021970370502488124,-0.007518841980481046
B,len,41,0.014293611787215013,-0.007518841980481046
B,len,42,-0.03524458203162685,-0.007518841980481046
B,len,43,-0.032753013197490584,-0.007518841980481046
B,len,44,-0.005325739457998156,-0.007518841980481046
B,len,45,0.0018406529857822387,-0.007518841980481046
B,len,46,-0.03778066313450387,-0.007518841980481046
B,len,47,-0.04101365713766854,-0.007518841980481046
B,len,48,-0.04117518324286101,-0.007518841980481046
B,len,49,0.02507863409922858,-0.007518841980481046
B,len,50,0.01465420266933392,-0.007518841980481046
B,len,51,0.015083557881454289,-0.007518841980481046
B,len,52,-0.0035922240164648553,-0.007518841980481046
B,len,53,0.07271755824354798,-0.007518841980481046
B,len,54,-0.16391743008578027,-0.007518841980481046
B,ang,1,-0.34861601294972655,-0.04424524152925784
B,ang,2,0.10600661805940703,-0.04424524152925784
B,ang,3,0.13852133852367976,-0.04424524152925784
B,ang,4,0.018040204138007,-0.04424524152925784
B,ang,5,-0.10645705305670361,-0.04424524152925784
B,ang,6,-0.6030858983056845,-0.04424524152925784
B,ang,7,0.33500818818137157,-0.04424524152925784
B,ang,8,-0.3901085563790906,-0.04424524152925784
B,ang,9,0.28949059753884976,-0.04424524152925784
B,ang,10,0.08837647265761828,-0.04424524152925784
B,ang,11,-0.05313780416830938,-0.04424524152925784
B,ang,12,-0.32195781205986573,-0.04424524152925784
B,ang,13,-0.3039619297291616,-0.04424524152925784
B,ang,14,-0.3276857300023355,-0.04424524152925784
B,ang,15,-0.40751846438871775,-0.04424524152925784
B,ang,16,-1.435876374489796,-0.04424524152925784
B,ang,17,0.08186408732513761,-0.04424524152925784
B,ang,18,-0.09865854497723314,-0.04424524152925784
B,ang,19,0.060315184839850544,-0.04424524152925784
B,ang,20,-0.36208138556370073,-0.04424524152925784
B,ang,21,-0.16517132495413978,-0.04424524152925784
B,ang,22,0.2598806483312468,-0.04424524152925784
B,ang,23,0.06465226347901554,-0.04424524152925784
B,ang,24,0.057729141374866066,-0.04424524152925784
B,ang,25,-0.056920733784422084,-0.04424524152925784
B,ang,26,-0.4779778999618085,-0.04424524152925784
B,ang,27,-0.28134272719200937,-0.04424524152925784
B,ang,28,0.3836589854690404,-0.04424524152925784
B,ang,29,0.6159582356853608,-0.04424524152925784
B,ang,30,0.2819621699449104,-0.04424524152925784
B,ang,31,0.6137857183307156,-0.04424524152925784
B,ang,32,-0.060263488617127714,-0.04424524152925784
B,ang,33,-0.7886880949326923,-0.04424524152925784
B,ang,34,-0.4116493436775194,-0.04424524152925784
B,ang,35,-0.0004984405427923555,-0.04424524152925784
B,ang,36,-0.08932489301342761,-0.04424524152925784
B,ang,37,-0.2875136649308181,-0.04424524152925784
B,ang,38,-0.5857663927545027,-0.04424524152925784
B,ang,39,0.3022952415174248,-0.04424524152925784
B,ang,40,0.03326730136086564,-0.04424524152925784
B,ang,41,-0.40493262531727114,-0.04424524152925784
B,ang,42,0.07942914351960395,-0.04424524152925784
B,ang,43,1.098082364852305,-0.04424524152925784
B,ang,44,-0.1731824836356659,-0.04424524152925784
B,ang,45,0.0368930624854058,-0.04424524152925784
B,ang,46,0.9904426581267258,-0.04424524152925784
B,ang,47,-0.31659424999414765,-0.04424524152925784
B,ang,48,0.979458948333346,-0.04424524152925784
B,ang,49,0.020792643890410578,-0.04424524152925784
B,ang,50,0.1188483295011391,-0.04424524152925784
B,ang,51,-0.8787240047226925,-0.04424524152925784
B,ang,52,0.15865158562743487,-0.04424524152925784
B,ang,53,-0.4648613991879258,-0.04424524152925784
B,ang,54,0.5999031576156258,-0.04424524152925784
B,ori,1,-0.10917810743293033,0.01642319402003632
B,ori,2,-0.4173557271008914,0.01642319402003632
B,ori,3,-0.15001780422403943,0.01642319402003632
B,ori,4,-0.18841567711028806,0.01642319402003632
B,ori,5,0.18246869249891917,0.01642319402003632
B,ori,6,0.268586289072936,0.01642319402003632
B,ori,7,-0.13143648487012372,0.01642319402003632
B,ori,8,-0.09548224540030481,0.01642319402003632
B,ori,9,0.05908334709668739,0.01642319402003632
B,ori,10,0.32580639273842693,0.01642319402003632
B,ori,11,0.16927275025775845,0.01642319402003632
B,ori,12,0.005412618217547571,0.01642319402003632
B,ori,13,-0.06654519940395165,0.01642319402003632
B,ori,14,0.08546635297539051,0.01642319402003632
B,ori,15,0.2691354061415552,0.01642319402003632
B,ori,16,-0.10628152565001481,0.01642319402003632
B,ori,17,0.16361370047772816,0.01642319402003632
B,ori,18,-0.1273041843380862,0.01642319402003632
B,ori,19,-0.03694113887497674,0.01642319402003632
B,ori,20,0.04402702167699646,0.01642319402003632
B,ori,21,-0.08212437323334298,0.01642319402003632
B,ori,22,-0.23222066198980196,0.01642319402003632
B,ori,23,-0.0329171559146233,0.01642319402003632
B,ori,24,0.08520815489686862,0.01642319402003632
B,ori,25,0.03546521419327764,0.01642319402003632
B,ori,26,-0.13535723490475915,0.01642319402003632
B,ori,27,0.27076228514948686,0.01642319402003632
B,ori,28,0.053445056721959316,0.01642319402003632
B,ori,29,0.21989546680753214,0.01642319402003632
