subject,session,class,state,half,trial_count,normalized_karcher_residual,warning_count
9,0,right_hand,1,A,25,4.1989197531519013e-11,0
9,0,right_hand,1,B,25,6.243700667905023e-11,0
9,0,right_hand,2,full,50,5.908554015357257e-11,0
9,0,right_hand,2,A,25,6.17973298780884e-11,0
9,0,right_hand,2,B,25,5.698806444570182e-11,0
9,0,right_hand,3,full,50,5.803417905601419e-11,0
9,0,right_hand,3,A,25,5.730128851368537e-11,0
9,0,right_hand,3,B,25,5.845291970785962e-11,0
9,0,right_hand,4,full,50,6.25673529281073e-11,0
9,0,right_hand,4,A,25,6.201233929376128e-11,0
9,0,right_hand,4,B,25,6.621159188425654e-11,0
9,0,right_hand,5,full,50,6.31726746845415e-11,0
9,0,right_hand,5,A,25,6.344927172592577e-11,0
9,0,right_hand,5,B,25,6.381491270578982e-11,0
10,0,left_hand,1,full,50,7.545351198179923e-11,0
10,0,left_hand,1,A,25,7.964492701726375e-11,0
10,0,left_hand,1,B,25,7.429789271296889e-11,0
10,0,left_hand,2,full,50,7.693539469575563e-11,0
10,0,left_hand,2,A,25,7.707487137960076e-11,0
10,0,left_hand,2,B,25,7.720819181276094e-11,0
10,0,left_hand,3,full,50,3.6849486296156794e-11,0
10,0,left_hand,3,A,25,3.7131857403508924e-11,0
10,0,left_hand,3,B,25,8.718668383183843e-11,0
10,0,left_hand,4,full,50,3.932202964597745e-11,0
10,0,left_hand,4,A,25,3.813982394885379e-11,0
10,0,left_hand,4,B,25,4.021190301151409e-11,0
10,0,left_hand,5,full,50,3.848207419433254e-11,0
10,0,left_hand,5,A,25,3.705915804917644e-11,0
10,0,left_hand,5,B,25,3.76784319646238e-11,0
10,0,right_hand,1,full,50,7.877412807145478e-11,0
10,0,right_hand,1,A,25,8.292837636492158e-11,0
10,0,right_hand,1,B,25,7.665725412446137e-11,0
10,0,right_hand,2,full,50,3.768894010238661e-11,0
10,0,right_hand,2,A,25,8.719916694848787e-11,0
10,0,right_hand,2,B,25,3.833151542354669e-11,0
10,0,right_hand,3,full,50,8.297772146207427e-11,0
10,0,right_hand,3,A,25,3.7074148948542127e-11,0
10,0,right_hand,3,B,25,8.254811970903383e-11,0
10,0,right_hand,4,full,50,3.993389495810917e-11,0
10,0,right_hand,4,A,25,4.174611587335778e-11,0
10,0,right_hand,4,B,25,8.696399495555728e-11,0
10,0,right_hand,5,full,50,8.674522506708184e-11,0
10,0,right_hand,5,A,25,8.56627242824185e-11,0
10,0,right_hand,5,B,25,3.723203565948376e-11,0
11,0,left_hand,1,full,50,5.589338563531204e-11,0
11,0,left_hand,1,A,25,6.163928840005818e-11,0
11,0,left_hand,1,B,25,5.5066810011238067e-11,0
11,0,left_hand,2,full,50,5.327777174822872e-11,0
11,0,left_hand,2,A,25,6.216049888547538e-11,0
11,0,left_hand,2,B,25,5.233432553425943e-11,0
11,0,left_hand,3,full,50,4.614957316773141e-11,0
11,0,left_hand,3,A,25,4.7661544370295647e-11,0
11,0,left_hand,3,B,25,5.22811196787535e-11,0
11,0,left_hand,4,full,50,4.7477731953153295e-11,0
11,0,left_hand,4,A,25,4.586631977745967e-11,0
11,0,left_hand,4,B,25,5.325211252184134e-11,0
11,0,left_hand,5,full,50,4.7647886869889246e-11,0
11,0,left_hand,5,A,25,4.9456402288375014e-11,0
11,0,left_hand,5,B,25,5.2741284959429766e-11,0
