phase,session,geometry,split,row_type,subject,class_row,class_column,value
confirmatory,1test,AIRM,F,subject,3,tongue,tongue,1.397774809671831
confirmatory,1test,AIRM,F,subject,4,left_hand,left_hand,0.5454276464729807
confirmatory,1test,AIRM,F,subject,4,left_hand,right_hand,0.3537826663936309
confirmatory,1test,AIRM,F,subject,4,left_hand,feet,-0.47615103000317954
confirmatory,1test,AIRM,F,subject,4,left_hand,tongue,-0.42284787016945846
confirmatory,1test,AIRM,F,subject,4,right_hand,left_hand,0.3537826663936309
confirmatory,1test,AIRM,F,subject,4,right_hand,right_hand,0.41055789623196837
confirmatory,1test,AIRM,F,subject,4,right_hand,feet,-0.4356289780796115
confirmatory,1test,AIRM,F,subject,4,right_hand,tongue,-0.32838410098638093
confirmatory,1test,AIRM,F,subject,4,feet,left_hand,-0.47615103000317954
confirmatory,1test,AIRM,F,subject,4,feet,right_hand,-0.4356289780796115
confirmatory,1test,AIRM,F,subject,4,feet,feet,0.554789649837634
confirmatory,1test,AIRM,F,subject,4,feet,tongue,0.35667083002256617
confirmatory,1test,AIRM,F,subject,4,tongue,left_hand,-0.42284787016945846
confirmatory,1test,AIRM,F,subject,4,tongue,right_hand,-0.32838410098638093
confirmatory,1test,AIRM,F,subject,4,tongue,feet,0.35667083002256617
confirmatory,1test,AIRM,F,subject,4,tongue,tongue,0.39435939527822794
confirmatory,1test,AIRM,F,subject,5,left_hand,left_hand,0.07284735076213672
confirmatory,1test,AIRM,F,subject,5,left_hand,right_hand,0.013759921624752793
confirmatory,1test,AIRM,F,subject,5,left_hand,feet,-0.03183432212106198
confirmatory,1test,AIRM,F,subject,5,left_hand,tongue,-0.054805262623173576
confirmatory,1test,AIRM,F,subject,5,right_hand,left_hand,0.013759921624752793
confirmatory,1test,AIRM,F,subject,5,right_hand,right_hand,0.07819578766478485
confirmatory,1test,AIRM,F,subject,5,right_hand,feet,-0.03184516048446147
confirmatory,1test,AIRM,F,subject,5,right_hand,tongue,-0.06005126844395149
confirmatory,1test,AIRM,F,subject,5,feet,left_hand,-0.03183432212106198
confirmatory,1test,AIRM,F,subject,5,feet,right_hand,-0.03184516048446147
confirmatory,1test,AIRM,F,subject,5,feet,feet,0.08949229165807879
confirmatory,1test,AIRM,F,subject,5,feet,tongue,-0.025867007336901192
confirmatory,1test,AIRM,F,subject,5,tongue,left_hand,-0.054805262623173576
confirmatory,1test,AIRM,F,subject,5,tongue,right_hand,-0.06005126844395149
confirmatory,1test,AIRM,F,subject,5,tongue,feet,-0.025867007336901192
confirmatory,1test,AIRM,F,subject,5,tongue,tongue,0.1407617041049297
confirmatory,1test,AIRM,F,subject,6,left_hand,left_hand,0.23393676482646536
confirmatory,1test,AIRM,F,subject,6,left_hand,right_hand,0.03737420160426593
confirmatory,1test,AIRM,F,subject,6,left_hand,feet,-0.23635561455846388
confirmatory,1test,AIRM,F,subject,6,left_hand,tongue,-0.03474671180593793
confirmatory,1test,AIRM,F,subject,6,right_hand,left_hand,0.03737420160426593
confirmatory,1test,AIRM,F,subject,6,right_hand,right_hand,0.1500704464208045
confirmatory,1test,AIRM,F,subject,6,right_hand,feet,-0.13684093569793465
confirmatory,1test,AIRM,F,subject,6,right_hand,tongue,-0.05037208931705514
confirmatory,1test,AIRM,F,subject,6,feet,left_hand,-0.23635561455846388
confirmatory,1test,AIRM,F,subject,6,feet,right_hand,-0.13684093569793465
confirmatory,1test,AIRM,F,subject,6,feet,feet,0.4435498709161234
confirmatory,1test,AIRM,F,subject,6,feet,tongue,-0.07056241380727113
confirmatory,1test,AIRM,F,subject,6,tongue,left_hand,-0.03474671180593793
confirmatory,1test,AIRM,F,subject,6,tongue,right_hand,-0.05037208931705514
confirmatory,1test,AIRM,F,subject,6,tongue,feet,-0.07056241380727113
confirmatory,1test,AIRM,F,subject,6,tongue,tongue,0.15547882644941763
confirmatory,1test,AIRM,F,subject,7,left_hand,left_hand,0.5164060081326456
confirmatory,1test,AIRM,F,subject,7,left_hand,right_hand,0.29738985671183354
confirmatory,1test,AIRM,F,subject,7,left_hand,feet,-0.2712454574373932
confirmatory,1test,AIRM,F,subject,7,left_hand,tongue,-0.5423354656053048
confirmatory,1test,AIRM,F,subject,7,right_hand,left_hand,0.29738985671183354
confirmatory,1test,AIRM,F,subject,7,right_hand,right_hand,0.45074267932241074
confirmatory,1test,AIRM,F,subject,7,right_hand,feet,-0.25752920875740165
confirmatory,1test,AIRM,F,subject,7,right_hand,tongue,-0.4901901680825289
confirmatory,1test,AIRM,F,subject,7,feet,left_hand,-0.2712454574373932
confirmatory,1test,AIRM,F,subject,7,feet,right_hand,-0.25752920875740165
confirmatory,1test,AIRM,F,subject,7,feet,feet,0.3913398091863056
confirmatory,1test,AIRM,F,subject,7,feet,tongue,0.1374444088316066
confirmatory,1test,AIRM,F,subject,7,tongue,left_hand,-0.5423354656053048
confirmatory,1test,AIRM,F,subject,7,tongue,right_hand,-0.4901901680825289
confirmatory,1test,AIRM,F,subject,7,tongue,feet,0.1374444088316066
confirmatory,1test,AIRM,F,subject,7,tongue,tongue,0.894469216183096
confirmatory,1test,AIRM,F,subject,8,left_hand,left_hand,0.901723294114005
confirmatory,1test,AIRM,F,subject,8,left_hand,right_hand,-0.16006335071306585
confirmatory,1test,AIRM,F,subject,8,left_hand,feet,0.07849343485505852
confirmatory,1test,AIRM,F,subject,8,left_hand,tongue,-0.8151051648981187
confirmatory,1test,AIRM,F,subject,8,right_hand,left_hand,-0.16006335071306585
confirmatory,1test,AIRM,F,subject,8,right_hand,right_hand,0.4656704472012272
confirmatory,1test,AIRM,F,subject,8,right_hand,feet,-0.039623236577456436
confirmatory,1test,AIRM,F,subject,8,right_hand,tongue,-0.26721644125129673
confirmatory,1test,AIRM,F,subject,8,feet,left_hand,0.07849343485505852
confirmatory,1test,AIRM,F,subject,8,feet,right_hand,-0.039623236577456436
confirmatory,1test,AIRM,F,subject,8,feet,feet,0.19699030761258046
confirmatory,1test,AIRM,F,subject,8,feet,tongue,-0.23601296345170603
confirmatory,1test,AIRM,F,subject,8,tongue,left_hand,-0.8151051648981187
confirmatory,1test,AIRM,F,subject,8,tongue,right_hand,-0.26721644125129673
confirmatory,1test,AIRM,F,subject,8,tongue,feet,-0.23601296345170603
confirmatory,1test,AIRM,F,subject,8,tongue,tongue,1.3148208505138557
confirmatory,1test,AIRM,F,subject,9,left_hand,left_hand,4.962088355997874
confirmatory,1test,AIRM,F,subject,9,left_hand,right_hand,-0.1725105636656954
confirmatory,1test,AIRM,F,subject,9,left_hand,feet,-0.9855467248717349
confirmatory,1test,AIRM,F,subject,9,left_hand,tongue,-3.8028609214096085
confirmatory,1test,AIRM,F,subject,9,right_hand,left_hand,-0.1725105636656954
confirmatory,1test,AIRM,F,subject,9,right_hand,right_hand,0.34566561617105884
confirmatory,1test,AIRM,F,subject,9,right_hand,feet,-0.11234542451677379
confirmatory,1test,AIRM,F,subject,9,right_hand,tongue,-0.06407205270093788
confirmatory,1test,AIRM,F,subject,9,feet,left_hand,-0.9855467248717349
confirmatory,1test,AIRM,F,subject,9,feet,right_hand,-0.11234542451677379
confirmatory,1test,AIRM,F,subject,9,feet,feet,0.9128438133505028
confirmatory,1test,AIRM,F,subject,9,feet,tongue,0.18556097627178902
confirmatory,1test,AIRM,F,subject,9,tongue,left_hand,-3.8028609214096085
confirmatory,1test,AIRM,F,subject,9,tongue,right_hand,-0.06407205270093788
confirmatory,1test,AIRM,F,subject,9,tongue,feet,0.18556097627178902
confirmatory,1test,AIRM,F,subject,9,tongue,tongue,3.6833664196797327
confirmatory,1test,AIRM,F,subject_median,,left_hand,left_hand,0.5454276464729807
confirmatory,1test,AIRM,F,subject_median,,left_hand,right_hand,0.03737420160426593
confirmatory,1test,AIRM,F,subject_median,,left_hand,feet,-0.2712454574373932
confirmatory,1test,AIRM,F,subject_median,,left_hand,tongue,-0.5423354656053048
confirmatory,1test,AIRM,F,subject_median,,right_hand,left_hand,0.03737420160426593
confirmatory,1test,AIRM,F,subject_median,,right_hand,right_hand,0.41055789623196837
confirmatory,1test,AIRM,F,subject_median,,right_hand,feet,-0.13684093569793465
confirmatory,1test,AIRM,F,subject_median,,right_hand,tongue,-0.26721644125129673
confirmatory,1test,AIRM,F,subject_median,,feet,left_hand,-0.2712454574373932
confirmatory,1test,AIRM,F,subject_median,,feet,right_hand,-0.13684093569793465
confirmatory,1test,AIRM,F,subject_median,,feet,feet,0.4254904473565732
confirmatory,1test,AIRM,F,subject_median,,feet,tongue,0.1374444088316066
confirmatory,1test,AIRM,F,subject_median,,tongue,left_hand,-0.5423354656053048
confirmatory,1test,AIRM,F,subject_median,,tongue,right_hand,-0.26721644125129673
confirmatory,1test,AIRM,F,subject_median,,tongue,feet,0.1374444088316066
confirmatory,1test,AIRM,F,subject_median,,tongue,tongue,0.894469216183096
