protocol,subject,split,feature,n_train,n_test,balanced_accuracy,accuracy,macro_f1,confusion_matrix
P0,3,0train_fold2,F2-V,230,58,0.3738095238095238,0.3793103448275862,0.3704906204906205,"[[3, 5, 1, 5], [5, 3, 6, 0], [3, 2, 9, 1], [3, 3, 2, 7]]"
P0,3,0train_fold2,F3-G,230,58,0.4464285714285714,0.4482758620689655,0.4424290986790987,"[[5, 3, 3, 3], [2, 6, 3, 3], [0, 5, 5, 5], [1, 4, 0, 10]]"
P0,3,0train_fold2,F3-D,230,58,0.4642857142857143,0.46551724137931033,0.46233300749429784,"[[5, 4, 3, 2], [2, 7, 3, 2], [2, 4, 6, 3], [2, 4, 0, 9]]"
P0,3,0train_fold2,F2-S-SHUFFLE,230,58,0.39523809523809517,0.39655172413793105,0.3818149748655084,"[[2, 6, 0, 6], [2, 8, 3, 1], [2, 4, 7, 2], [3, 2, 4, 6]]"
P0,3,0train_fold2,F2-S-REVERSE,230,58,0.480952380952381,0.4827586206896552,0.48427750410509035,"[[7, 3, 0, 4], [4, 5, 3, 2], [1, 4, 9, 1], [4, 3, 1, 7]]"
P0,3,0train_fold3,F0,231,57,0.8595238095238095,0.8596491228070176,0.8599844918810436,"[[12, 0, 0, 2], [0, 13, 1, 0], [1, 1, 13, 0], [3, 0, 0, 11]]"
P0,3,0train_fold3,F1,231,57,0.9119047619047619,0.9122807017543859,0.9105592045247218,"[[13, 0, 0, 1], [0, 14, 0, 0], [0, 0, 14, 1], [1, 2, 0, 11]]"
P0,3,0train_fold3,F2-S,231,57,0.6821428571428572,0.6842105263157895,0.6787543728135932,"[[10, 0, 0, 4], [2, 7, 4, 1], [1, 1, 12, 1], [2, 1, 1, 10]]"
P0,3,0train_fold3,F2-V,231,57,0.6321428571428571,0.631578947368421,0.6336670374490174,"[[9, 3, 0, 2], [2, 9, 1, 2], [3, 1, 9, 2], [3, 0, 2, 9]]"
P0,3,0train_fold3,F3-G,231,57,0.33452380952380956,0.3333333333333333,0.33505023897126235,"[[5, 3, 3, 3], [3, 5, 5, 1], [2, 6, 4, 3], [7, 0, 2, 5]]"
P0,3,0train_fold3,F3-D,231,57,0.24523809523809523,0.24561403508771928,0.2333333333333333,"[[1, 6, 3, 4], [1, 5, 5, 3], [3, 5, 4, 3], [2, 5, 3, 4]]"
P0,3,0train_fold3,F2-S-SHUFFLE,231,57,0.5583333333333333,0.5614035087719298,0.5546153846153845,"[[7, 1, 2, 4], [1, 6, 7, 0], [2, 0, 11, 2], [2, 4, 0, 8]]"
P0,3,0train_fold3,F2-S-REVERSE,231,57,0.6821428571428572,0.6842105263157895,0.6787543728135932,"[[10, 0, 0, 4], [2, 7, 4, 1], [1, 1, 12, 1], [2, 1, 1, 10]]"
P0,3,0train_fold4,F0,231,57,0.8238095238095239,0.8245614035087719,0.8263027295285361,"[[13, 1, 0, 1], [1, 10, 0, 3], [0, 1, 12, 1], [2, 0, 0, 12]]"
P0,3,0train_fold4,F1,231,57,0.8238095238095238,0.8245614035087719,0.8251239501239502,"[[13, 2, 0, 0], [3, 10, 0, 1], [0, 0, 13, 1], [2, 0, 1, 11]]"
P0,3,0train_fold4,F2-S,231,57,0.6142857142857143,0.6140350877192983,0.6159277504105091,"[[9, 3, 0, 3], [5, 7, 1, 1], [1, 4, 9, 0], [0, 1, 3, 10]]"
