direction,session,subject,class,delta_norm
REVERSE,2,31,right_hand,0.311650252607547
REVERSE,2,31,left_hand,0.2861061889529756
REVERSE,2,31,both_hand,0.35297010336215606
REVERSE,2,31,rest,0.4045380613208342
REVERSE,2,32,right_hand,0.3550429622281622
REVERSE,2,32,left_hand,0.6829601364318405
REVERSE,2,32,both_hand,0.5558980323510031
REVERSE,2,32,rest,0.4120108469406601
REVERSE,2,36,right_hand,0.4585382778824112
REVERSE,2,36,left_hand,0.38326850147978064
REVERSE,2,36,both_hand,0.3260793796330493
REVERSE,2,36,rest,0.36313388075545106
REVERSE,2,38,right_hand,0.42420606435101754
REVERSE,2,38,left_hand,0.5909940576606323
REVERSE,2,38,both_hand,0.46008160958746186
REVERSE,2,38,rest,0.899862924882077
