protocol,target_subject,condition,true_class,predicted_class,count
T2,4,STATIC_PLUS_SENSOR,left_hand,tongue,11
T2,4,STATIC_PLUS_SENSOR,right_hand,left_hand,17
T2,4,STATIC_PLUS_SENSOR,right_hand,right_hand,27
T2,4,STATIC_PLUS_SENSOR,right_hand,feet,18
T2,4,STATIC_PLUS_SENSOR,right_hand,tongue,10
T2,4,STATIC_PLUS_SENSOR,feet,left_hand,19
T2,4,STATIC_PLUS_SENSOR,feet,right_hand,16
T2,4,STATIC_PLUS_SENSOR,feet,feet,22
T2,4,STATIC_PLUS_SENSOR,feet,tongue,15
T2,4,STATIC_PLUS_SENSOR,tongue,left_hand,12
T2,4,STATIC_PLUS_SENSOR,tongue,right_hand,14
T2,4,STATIC_PLUS_SENSOR,tongue,feet,16
T2,4,STATIC_PLUS_SENSOR,tongue,tongue,30
T2,5,STATIC,left_hand,left_hand,15
T2,5,STATIC,left_hand,right_hand,28
T2,5,STATIC,left_hand,feet,12
T2,5,STATIC,left_hand,tongue,17
T2,5,STATIC,right_hand,left_hand,16
T2,5,STATIC,right_hand,right_hand,29
T2,5,STATIC,right_hand,feet,11
T2,5,STATIC,right_hand,tongue,16
T2,5,STATIC,feet,left_hand,12
T2,5,STATIC,feet,right_hand,19
T2,5,STATIC,feet,feet,30
T2,5,STATIC,feet,tongue,11
T2,5,STATIC,tongue,left_hand,14
T2,5,STATIC,tongue,right_hand,20
T2,5,STATIC,tongue,feet,13
T2,5,STATIC,tongue,tongue,25
T2,5,MOV_LEN,left_hand,left_hand,59
T2,5,MOV_LEN,left_hand,right_hand,8
T2,5,MOV_LEN,left_hand,feet,2
T2,5,MOV_LEN,left_hand,tongue,3
T2,5,MOV_LEN,right_hand,left_hand,58
T2,5,MOV_LEN,right_hand,right_hand,13
T2,5,MOV_LEN,right_hand,feet,0
T2,5,MOV_LEN,right_hand,tongue,1
T2,5,MOV_LEN,feet,left_hand,62
T2,5,MOV_LEN,feet,right_hand,5
T2,5,MOV_LEN,feet,feet,2
T2,5,MOV_LEN,feet,tongue,3
T2,5,MOV_LEN,tongue,left_hand,49
T2,5,MOV_LEN,tongue,right_hand,18
